#     Step;   Iter;    t_Ener;    t_Grad;       Temp;             E_Pot;        Delta E;      RMS(Grad);      Max(Grad);    Max(Step)
         1;     14;     98.68;     43.32;           ;    -1073.81534469;               ;               ;               ;             
         2;      8;     68.72;     49.48;           ;    -1073.85799171;    -0.04264702;       119.7311;       472.3282;     0.001850
         3;     13;     95.48;     43.90;           ;    -1074.79957432;    -0.94158261;        46.8313;       138.3183;     0.079313
         4;      9;     74.76;     47.61;           ;    -1074.81108178;    -0.01150745;        54.6290;       176.6337;     0.009835
         5;     11;     82.74;     46.29;           ;    -1074.99364215;    -0.18256038;        42.3237;       200.3201;     0.025958
         6;     13;     95.50;     50.89;           ;    -1075.20226346;    -0.20862131;        48.4267;       606.8757;     0.070530
         7;     10;     76.24;     42.19;           ;    -1075.37971635;    -0.17745289;        43.5624;       614.1167;     0.090524
         8;     11;     83.04;     43.39;           ;    -1075.49186003;    -0.11214368;        27.1085;       267.1245;     0.034554
         9;     11;     82.73;     44.21;           ;    -1075.53574347;    -0.04388344;        32.0638;       296.1309;     0.039707
        10;     12;     90.53;     42.17;           ;    -1075.60605352;    -0.07031005;        22.4137;       160.0908;     0.040418
        11;     12;     90.80;     46.86;           ;    -1075.61809337;    -0.01203986;        30.5439;       372.1414;     0.025248
        12;     11;     98.86;     43.48;           ;    -1075.67723168;    -0.05913831;        20.6285;       253.2548;     0.023213
        13;     11;     89.25;     42.65;           ;    -1075.70030167;    -0.02306999;        27.3352;       259.8987;     0.026124
        14;     11;     88.90;     46.05;           ;    -1075.75036445;    -0.05006278;        17.8113;       136.4599;     0.027328
        15;     11;     84.46;     42.82;           ;    -1075.75840221;    -0.00803776;        23.6304;       291.2950;     0.016467
        16;      9;     81.71;     43.74;           ;    -1075.79677207;    -0.03836985;        16.9440;       132.1862;     0.017363
        17;     11;     97.88;     42.55;           ;    -1075.81619694;    -0.01942488;        24.0836;       194.5711;     0.024160
        18;     11;     91.38;     42.82;           ;    -1075.86078717;    -0.04459022;        17.2726;       151.8404;     0.023183
        19;     11;     91.21;     45.16;           ;    -1075.87687699;    -0.01608982;        24.5371;       241.0250;     0.024673
        20;     11;     92.10;     47.84;           ;    -1075.91840052;    -0.04152354;        15.5549;        83.7230;     0.027411
        21;     11;     84.94;     42.78;           ;    -1075.92376046;    -0.00535994;        20.1426;       222.2861;     0.014184
        22;     10;     85.40;     43.26;           ;    -1075.95300204;    -0.02924158;        14.2374;       111.1310;     0.019505
        23;     11;     90.09;     42.47;           ;    -1075.96868407;    -0.01568203;        19.8841;       229.2627;     0.028303
        24;     10;     83.81;     46.41;           ;    -1075.99801381;    -0.02932974;        14.5034;       130.4798;     0.029014
        25;     10;     81.30;     43.03;           ;    -1076.00256551;    -0.00455170;        19.6497;       329.8469;     0.016865
        26;     11;     88.37;     43.79;           ;    -1076.02712803;    -0.02456251;        13.0018;        71.6092;     0.026871
