idx	x_ang	y_ang	z_ang	shell
151	63.0977	36.2712	54.4441	2.0
152	58.4103	35.8318	60.6727	2.0
153	53.6161	32.2661	50.3100	3.0
154	65.1416	30.6626	55.7042	2.0
155	54.4503	40.3332	54.8597	4.0
156	61.3385	27.4005	54.0082	3.0
157	63.2715	36.7779	50.6327	4.0
158	62.9658	34.0230	50.7725	2.0
159	54.6634	29.5337	57.7243	2.0
160	53.4301	28.4228	55.9833	3.0
161	59.1090	32.6170	49.1610	3.0
162	61.8394	35.1479	48.5387	4.0
163	60.4636	28.4669	57.7841	2.0
164	64.2567	37.5351	57.0153	3.0
165	64.0583	29.2081	56.5252	2.0
166	54.1192	34.4416	50.3072	3.0
167	67.1117	32.8881	56.3952	4.0
168	64.5957	30.1378	60.0724	4.0
169	64.3075	37.0591	52.9233	4.0
170	51.4774	36.0913	55.0589	4.0
171	64.2074	34.3367	52.6604	2.0
172	50.7751	34.9950	53.4746	4.0
173	56.2055	41.1596	54.3924	4.0
174	53.3758	39.0691	59.8494	4.0
175	55.8187	36.4936	51.2730	2.0
176	51.9813	35.4302	51.3892	4.0
177	53.8900	30.3671	60.7047	4.0
178	52.3391	39.0145	57.3842	4.0
179	52.1554	37.2687	59.5542	4.0
180	60.0419	26.8062	59.2107	4.0
181	63.8657	35.8575	56.9186	2.0
182	66.1706	29.2296	52.4955	4.0
183	54.7320	38.2258	50.6888	4.0
184	63.3407	27.4776	55.1633	3.0
185	64.3086	30.0997	52.5355	2.0
186	65.0307	31.4679	58.7302	3.0
187	58.2623	28.7155	50.4936	4.0
188	56.4799	31.1401	59.8143	2.0
189	56.4574	37.6559	52.9869	2.0
190	56.8687	32.5050	63.0651	4.0
191	56.1696	40.3456	57.5676	3.0
192	53.4712	35.5275	51.6338	3.0
193	53.4364	30.5371	57.3161	2.0
194	59.7572	29.3780	50.2281	3.0
195	58.4590	37.6147	53.0555	2.0
196	55.8908	28.9793	53.6079	2.0
197	65.7401	30.1596	50.3476	4.0
198	55.3198	38.0007	59.3364	2.0
199	64.1963	29.7619	50.5509	3.0
200	62.3872	28.6968	53.6172	2.0
201	59.4161	37.3073	49.1878	4.0
202	62.7444	37.5372	58.0598	2.0
203	54.1213	29.1518	54.7898	2.0
204	65.0763	27.7611	53.5208	4.0
205	50.1544	34.0014	55.2321	4.0
206	56.7423	36.9392	62.4179	4.0
207	50.3156	30.5990	53.5638	4.0
208	67.1339	30.7658	54.5653	4.0
209	59.7123	33.6088	61.0973	2.0
210	64.4749	32.8969	51.5864	2.0
211	64.0624	39.2448	56.8159	4.0
212	53.9836	40.5440	57.5072	4.0
213	64.1404	34.0718	56.8049	2.0
214	52.5951	38.9798	55.3916	4.0
215	57.3971	36.9817	60.3369	2.0
216	60.5338	39.1749	58.5373	2.0
217	55.3379	33.7347	59.8318	2.0
218	52.7150	28.3916	52.1854	4.0
219	58.2121	39.8815	58.1952	2.0
220	57.7233	30.8793	62.5782	4.0
221	65.7338	31.5882	51.7527	3.0
222	55.6858	32.7842	49.5241	3.0
223	60.3112	42.0610	57.4216	4.0
224	55.8348	39.7392	54.8407	3.0
225	59.4921	35.8274	48.2859	4.0
226	65.5346	36.8965	58.1660	4.0
227	62.3926	32.4210	61.0450	3.0
228	54.6625	38.4493	54.0030	3.0
229	59.3950	38.3629	50.2553	4.0
230	59.6443	31.4973	60.2619	2.0
231	61.9856	27.8799	49.8388	4.0
232	54.5166	31.6160	60.0996	3.0
233	62.4770	33.5451	62.3249	4.0
234	57.4163	41.0690	53.3523	4.0
235	56.9550	40.4044	60.3352	4.0
236	58.9176	34.6079	50.0939	2.0
237	64.4255	35.9872	58.8981	3.0
238	57.0092	38.8916	54.3871	2.0
239	60.5468	41.1610	53.5819	4.0
240	61.3750	30.2316	61.4076	4.0
241	55.8004	34.3104	62.7533	4.0
242	65.4871	29.1180	55.5381	3.0
243	60.9827	41.0195	59.4186	4.0
244	61.9610	29.7398	49.5319	3.0
245	60.8127	32.3657	62.6047	4.0
246	64.9818	31.7864	57.0368	2.0
247	56.2414	28.3315	54.9486	2.0
248	60.5813	34.1672	49.0168	3.0
249	57.4994	32.3130	60.9995	2.0
250	64.5918	38.1812	54.8943	4.0
251	60.6274	33.0884	50.0983	2.0
252	56.3672	26.7787	53.5055	4.0
253	56.0031	28.7333	59.6142	3.0
254	57.1584	28.0319	53.1228	3.0
255	58.1846	29.3946	53.0981	2.0
256	56.4487	26.6347	58.6698	4.0
257	58.8237	39.3344	54.0956	2.0
258	52.6317	33.4169	59.6338	4.0
259	63.2103	38.9077	53.7582	4.0
260	63.3537	36.1668	52.0827	3.0
261	58.5258	32.5493	63.2683	4.0
262	59.7778	33.5012	63.1893	4.0
263	54.5272	27.5076	52.2770	4.0
264	62.6570	37.5070	55.6949	2.0
265	59.5183	29.4311	59.1037	2.0
266	55.2380	30.9403	50.1346	3.0
267	62.8347	40.1005	58.5269	4.0
268	62.8021	32.2300	59.3748	2.0
269	61.2230	31.3780	48.9050	3.0
270	59.4479	26.0994	55.0845	4.0
271	57.9391	36.8733	51.1898	2.0
272	61.5462	35.2203	62.6623	4.0
273	59.4303	27.3630	51.4815	4.0
274	66.3479	28.8475	54.3343	4.0
275	65.0163	35.5517	50.7974	4.0
276	62.3360	27.3369	58.9213	4.0
277	62.9256	35.9109	60.6435	3.0
278	66.5522	29.5875	57.3402	4.0
279	54.0131	27.4889	58.3947	4.0
280	63.0135	28.7977	50.6537	3.0
281	62.3441	30.6910	60.0676	3.0
282	65.9532	28.3005	56.7614	4.0
283	59.5375	40.8826	60.2379	4.0
284	62.7417	33.9818	59.7796	2.0
285	59.4635	40.2532	56.1919	2.0
286	56.5579	39.4769	56.1433	2.0
287	58.5210	37.9373	59.9090	2.0
288	57.7455	28.1191	55.8081	2.0
289	54.7205	35.3281	48.7163	4.0
290	61.0107	28.5613	60.6332	4.0
291	64.4459	34.0269	60.8907	4.0
292	62.6166	29.0172	60.3531	4.0
293	53.7428	36.8839	50.2692	4.0
294	60.0474	36.0148	50.7313	2.0
295	54.2270	32.5662	61.4683	4.0
296	59.4609	30.2943	62.0579	4.0
297	50.3378	32.1848	57.3194	4.0
298	60.7130	26.1654	57.1492	4.0
299	55.0757	37.0147	61.0004	3.0
300	65.0871	29.9663	58.0999	3.0
301	60.9991	32.5515	47.8795	4.0
302	62.9317	37.4187	53.4779	3.0
303	52.9998	36.0781	60.9617	4.0
304	62.8313	29.3613	57.9844	2.0
305	55.4632	33.5125	61.3774	3.0
306	50.5781	33.7968	52.5415	4.0
307	64.9588	33.2239	55.7822	2.0
308	51.4775	30.0003	54.8486	3.0
309	55.2835	26.2998	56.8443	4.0
310	53.4242	30.0743	51.2737	3.0
311	57.5402	39.3870	61.3182	4.0
312	61.9693	26.8634	51.6941	4.0
313	60.0274	38.0110	59.6560	2.0
314	55.6054	41.3004	56.3273	4.0
315	52.8157	30.5010	53.4938	2.0
316	63.8572	34.8086	54.0708	2.0
317	59.3404	38.8045	61.6994	4.0
318	52.6943	30.4049	59.4793	4.0
319	55.9972	39.4676	59.5766	3.0
320	57.9352	26.3873	54.4404	4.0
321	61.7003	41.2736	58.1249	4.0
322	57.3167	38.7555	59.1195	2.0
323	53.8726	36.8062	58.6310	2.0
324	60.8095	28.6682	49.1006	4.0
325	65.9673	34.2756	50.8737	4.0
326	57.1081	39.4616	51.5251	4.0
327	58.0777	27.5542	59.9502	4.0
328	66.8448	30.8406	52.5210	4.0
329	63.0760	31.0939	61.3151	4.0
330	56.7539	33.9466	50.0034	2.0
