label	V_R_Eh	V_TS_Eh	Dv_Eh	Dv_kcal_per_e
A_etherO_breaking	-0.264537	-0.283882	-0.019345	-12.1394
B_formingC6	-0.266013	-0.257840	0.008173	5.1284
