idx	x	y	z	shell	standoff	V_R_Eh	V_TS_Eh	dv_Eh	dv_kcal_per_e
663	61.5325	26.9030	51.5110	4.0	4.000	-0.136418579	-0.132124547	0.004294032	2.6945
664	51.1794	33.4273	51.2110	4.0	3.999	-0.108597393	-0.109089592	-0.000492199	-0.3089
665	52.8325	28.1890	52.4110	4.0	3.999	-0.106654286	-0.106864201	-0.000209915	-0.1317
666	55.8325	26.6082	58.4110	4.0	4.000	-0.110093455	-0.111365800	-0.001272345	-0.7984
667	58.5325	26.9098	53.0110	4.0	4.000	-0.138180079	-0.135652264	0.002527815	1.5862
668	53.1325	27.3639	55.1110	4.0	4.000	-0.105131300	-0.105786631	-0.000655331	-0.4112
669	63.3325	39.8821	55.4110	4.0	3.999	-0.143252662	-0.143932646	-0.000679984	-0.4267
670	65.5440	35.2273	59.0110	4.0	4.000	-0.140398707	-0.141466040	-0.001067333	-0.6698
671	65.1325	31.9273	49.1654	4.0	3.999	-0.131563044	-0.127525492	0.004037552	2.5336
672	64.9274	35.2273	50.3110	4.0	3.999	-0.138991130	-0.136573599	0.002417532	1.5170
673	50.0564	33.7273	55.1110	4.0	4.000	-0.108373272	-0.109099133	-0.000725861	-0.4555
674	63.3325	36.7273	50.6633	4.0	3.999	-0.145399984	-0.144002059	0.001397925	0.8772
675	65.1325	37.6273	58.4900	4.0	3.998	-0.135199953	-0.136435806	-0.001235853	-0.7755
676	64.2325	31.3273	48.5973	4.0	4.000	-0.130570719	-0.126346933	0.004223786	2.6505
677	53.1389	35.8273	50.3110	4.0	4.000	-0.119640181	-0.119821499	-0.000181319	-0.1138
678	54.6325	36.4273	62.0359	4.0	4.000	-0.134298778	-0.136893816	-0.002595038	-1.6284
679	52.1407	38.5273	58.1110	4.0	4.000	-0.130106881	-0.131182055	-0.001075174	-0.6747
680	60.0325	31.3273	48.1006	4.0	4.000	-0.135973925	-0.132202283	0.003771642	2.3667
681	51.9325	30.3173	50.9110	4.0	3.998	-0.105739732	-0.105916968	-0.000177236	-0.1112
682	55.8325	27.6600	59.9110	4.0	3.999	-0.112336711	-0.114496057	-0.002159347	-1.3550
683	62.1325	27.5391	50.3110	4.0	3.999	-0.133234143	-0.128609279	0.004624864	2.9021
684	57.6325	38.8273	50.3409	4.0	3.999	-0.133305557	-0.133200393	0.000105165	0.0660
685	55.8325	34.0273	62.7981	4.0	4.000	-0.130820805	-0.134915963	-0.004095158	-2.5698
686	57.0325	34.0273	47.9621	4.0	4.000	-0.124599708	-0.122963037	0.001636671	1.0270
687	63.5561	26.5273	54.8110	4.0	3.999	-0.136233006	-0.133345329	0.002887676	1.8120
688	54.0325	40.4951	56.0110	4.0	3.999	-0.138650492	-0.139448165	-0.000797673	-0.5005
689	51.9325	35.5273	51.5433	4.0	3.999	-0.117947719	-0.118593690	-0.000645971	-0.4054
690	51.9325	36.5663	53.6110	4.0	3.999	-0.128914978	-0.130015071	-0.001100093	-0.6903
691	64.4435	38.8273	56.3110	4.0	3.999	-0.141809400	-0.142603166	-0.000793766	-0.4981
692	61.0876	37.6273	49.7110	4.0	3.998	-0.136222409	-0.135278292	0.000944117	0.5924
693	57.3325	32.2273	63.1043	4.0	4.000	-0.125817740	-0.130272768	-0.004455028	-2.7956
694	57.6325	36.7273	48.6063	4.0	4.000	-0.125867708	-0.124952672	0.000915036	0.5742
695	53.4325	38.8986	53.9110	4.0	3.999	-0.139009153	-0.140011399	-0.001002246	-0.6289
696	51.0325	31.9273	51.3650	4.0	3.999	-0.105091158	-0.105511804	-0.000420646	-0.2640
697	59.9180	40.3273	52.4110	4.0	3.998	-0.143368941	-0.143616587	-0.000247646	-0.1554
698	61.5325	31.0273	61.9019	4.0	4.000	-0.134902261	-0.138441961	-0.003539699	-2.2212
699	55.2325	40.3273	54.1952	4.0	4.000	-0.146222736	-0.147031414	-0.000808678	-0.5075
700	60.0325	29.2273	48.8920	4.0	3.999	-0.135049595	-0.130801291	0.004248304	2.6659
701	66.4385	32.8273	50.9110	4.0	4.000	-0.135859085	-0.132294659	0.003564426	2.2367
702	51.3325	29.3921	52.7110	4.0	3.998	-0.101813057	-0.102228497	-0.000415441	-0.2607
703	55.2325	40.0485	60.2110	4.0	4.000	-0.137411627	-0.138490243	-0.001078616	-0.6768
704	54.1171	36.1273	49.4110	4.0	3.999	-0.118346132	-0.118134973	0.000211158	0.1325
705	51.4924	37.0273	56.3110	4.0	4.000	-0.130263298	-0.131414551	-0.001151252	-0.7224
706	65.6169	37.0273	56.9110	4.0	4.000	-0.141027948	-0.141524683	-0.000496735	-0.3117
707	52.2325	38.8623	56.6110	4.0	3.999	-0.131853191	-0.132844563	-0.000991373	-0.6221
708	62.3558	32.5273	47.9110	4.0	3.998	-0.132605346	-0.128962050	0.003643296	2.2862
709	60.6325	28.2002	60.5110	4.0	3.999	-0.129160887	-0.131459011	-0.002298124	-1.4421
710	64.5325	29.1286	59.6110	4.0	3.999	-0.133345517	-0.133661081	-0.000315564	-0.1980
711	54.6325	26.5419	56.6110	4.0	4.000	-0.107454007	-0.108233953	-0.000779945	-0.4894
712	52.2325	37.3273	59.6648	4.0	3.999	-0.129105459	-0.130539074	-0.001433615	-0.8996
713	57.0325	41.5273	58.8391	4.0	3.998	-0.139187385	-0.139924885	-0.000737500	-0.4628
714	55.8325	39.3351	51.8110	4.0	4.000	-0.138007379	-0.138515373	-0.000507994	-0.3188
715	55.8091	33.4273	48.2110	4.0	3.999	-0.121710354	-0.120346216	0.001364138	0.8560
716	59.4325	26.6295	59.0110	4.0	4.000	-0.122468030	-0.123577823	-0.001109793	-0.6964
717	66.6325	34.0310	56.9110	4.0	4.000	-0.144676464	-0.143887160	0.000789303	0.4953
718	66.2423	28.6273	56.6110	4.0	3.999	-0.133748079	-0.131710665	0.002037413	1.2785
719	58.2325	40.3273	60.8001	4.0	4.000	-0.139632460	-0.140886157	-0.001253697	-0.7867
720	60.0586	26.2273	54.8110	4.0	3.999	-0.136296978	-0.134353714	0.001943264	1.2194
721	63.3325	34.6801	48.8110	4.0	3.999	-0.136219119	-0.133501475	0.002717644	1.7053
722	59.4325	28.9273	61.1163	4.0	4.000	-0.129141224	-0.132627774	-0.003486550	-2.1878
723	58.2325	26.3473	58.1110	4.0	4.000	-0.120396060	-0.121228881	-0.000832822	-0.5226
724	50.0565	31.0273	56.0110	4.0	4.000	-0.099883031	-0.100498314	-0.000615282	-0.3861
725	60.9325	26.2192	55.7110	4.0	4.000	-0.136560847	-0.134940349	0.001620498	1.0169
726	64.5325	36.5772	51.8110	4.0	3.999	-0.147398597	-0.146012712	0.001385884	0.8697
727	67.0792	32.5273	56.9110	4.0	4.000	-0.139928523	-0.138605397	0.001323125	0.8303
728	60.6325	26.3837	58.1110	4.0	4.000	-0.127456755	-0.127651414	-0.000194659	-0.1222
729	55.3119	38.5273	50.6110	4.0	3.999	-0.127311674	-0.127499914	-0.000188240	-0.1181
730	52.8325	34.6273	50.0677	4.0	3.999	-0.117016720	-0.117131615	-0.000114895	-0.0721
731	50.4921	34.0273	53.0110	4.0	4.000	-0.109524064	-0.110246087	-0.000722023	-0.4531
732	63.5849	29.2273	49.1110	4.0	3.999	-0.130529695	-0.125824083	0.004705612	2.9528
733	56.7325	25.9890	56.3110	4.0	4.000	-0.115469871	-0.115707211	-0.000237339	-0.1489
734	50.3029	33.7273	56.6110	4.0	4.000	-0.111300820	-0.112170239	-0.000869420	-0.5456
735	65.4325	28.0568	57.5110	4.0	4.000	-0.132324410	-0.130938151	0.001386259	0.8699
736	53.7325	27.9508	58.7110	4.0	3.999	-0.106564268	-0.108139884	-0.001575616	-0.9887
737	59.7325	31.6273	62.7875	4.0	4.000	-0.129742479	-0.134039711	-0.004297232	-2.6966
738	65.4325	28.5096	51.8110	4.0	3.999	-0.135990263	-0.131336565	0.004653698	2.9202
739	55.8325	26.1069	56.0110	4.0	4.000	-0.112113612	-0.112461126	-0.000347514	-0.2181
740	53.4325	34.0273	49.5021	4.0	4.000	-0.117864343	-0.117634143	0.000230199	0.1445
741	63.4894	33.4273	61.7110	4.0	3.999	-0.134588116	-0.137065987	-0.002477871	-1.5549
742	57.2335	28.6273	50.6110	4.0	3.998	-0.137173254	-0.134376565	0.002796689	1.7549
743	61.5325	34.6273	48.2979	4.0	4.000	-0.136160696	-0.133654417	0.002506279	1.5727
744	53.8958	32.8273	49.1110	4.0	3.998	-0.117746372	-0.117166739	0.000579633	0.3637
745	62.1325	31.0273	47.9717	4.0	4.000	-0.131392534	-0.127244927	0.004147607	2.6027
746	61.5325	41.4355	55.1110	4.0	3.999	-0.137432025	-0.138022611	-0.000590587	-0.3706
747	59.7325	25.9655	56.9110	4.0	4.000	-0.126198138	-0.125855682	0.000342455	0.2149
