row	idx	x	y	z	shell	standoff
117	117	52.1503	32.4725	48.8346	5.0	4.997
118	118	61.4534	41.4878	55.1464	4.0	3.997
119	119	52.5245	37.0366	57.6232	3.0	2.997
120	120	61.1717	42.5302	58.6469	5.0	4.997
121	121	53.0127	38.8889	52.1416	5.0	4.998
122	122	64.0137	34.6246	59.8133	3.0	2.997
123	123	60.3483	36.4162	63.5894	5.0	4.999
124	124	57.4575	37.7757	62.2100	4.0	3.995
125	125	52.6506	37.2822	53.6812	4.0	4.011
126	126	64.7924	34.2817	62.0012	5.0	4.999
127	127	55.5352	25.1664	56.6904	5.0	4.998
128	128	57.3327	31.7043	49.7421	3.0	2.998
129	129	55.3255	38.5116	53.6534	3.0	2.997
130	130	56.5545	33.6885	62.0375	3.0	2.996
131	131	57.6251	42.3677	53.3721	5.0	4.998
132	132	62.3083	42.1939	55.2233	5.0	4.996
133	133	65.5468	34.1447	53.9930	3.0	2.995
134	134	53.9355	38.1687	59.5738	3.0	2.996
135	135	57.1791	40.8000	57.9418	3.0	2.994
136	136	50.7628	30.9992	57.8092	4.0	3.999
137	137	51.6774	28.5633	58.8338	5.0	4.997
138	138	60.5659	30.6667	61.8892	4.0	3.996
139	139	61.2135	37.8338	62.8444	5.0	4.998
140	140	66.7429	30.1324	53.7001	4.0	3.998
141	141	56.3069	28.4464	52.2792	3.0	2.994
142	142	61.7522	38.7866	49.7444	5.0	4.998
143	143	54.4492	29.3876	51.3406	3.0	2.993
144	144	57.2384	28.0273	53.1182	3.0	2.996
145	145	53.0037	30.8393	61.4067	5.0	4.997
146	146	50.8501	33.9507	57.6333	4.0	3.995
147	147	62.0581	42.4965	56.5143	5.0	4.997
148	148	60.0731	29.9420	62.8979	5.0	4.998
149	149	54.3473	30.5257	62.2034	5.0	4.998
150	150	66.2632	29.1153	59.5241	5.0	4.996
151	151	63.8954	27.8933	56.7384	3.0	2.996
152	152	54.2863	28.2380	57.5752	3.0	2.996
153	153	56.7649	42.6832	54.6070	5.0	4.998
154	154	62.5103	35.2791	63.3989	5.0	4.997
155	155	63.9944	36.1353	61.0110	4.0	4.001
156	156	57.6802	34.8175	49.0264	3.0	2.996
157	157	65.2680	34.2643	56.9966	3.0	2.995
158	158	52.3617	33.4902	51.3844	3.0	2.994
