idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
82	66.2181	34.9457	56.3426	4.0	-0.149785	-0.149085	0.000700
83	58.7332	27.4190	58.2623	3.0	-0.137439	-0.138876	-0.001438
84	58.0112	34.6837	63.2963	4.0	-0.133099	-0.136335	-0.003236
85	56.6952	38.5742	50.0662	4.0	-0.128831	-0.128945	-0.000113
86	59.4425	40.9508	54.8291	3.0	-0.157308	-0.157921	-0.000613
87	61.6947	28.8220	59.1337	3.0	-0.156179	-0.157825	-0.001646
88	64.4481	34.6723	49.4276	4.0	-0.135336	-0.132817	0.002519
89	53.9057	27.1601	54.3693	4.0	-0.110530	-0.111083	-0.000553
90	53.9150	39.2074	56.2634	3.0	-0.156074	-0.156994	-0.000920
91	57.8054	32.0489	50.6738	2.0	-0.180667	-0.176753	0.003914
92	61.0467	37.0649	53.1109	2.0	-0.200589	-0.200844	-0.000255
93	63.3127	40.0093	55.7365	4.0	-0.142157	-0.142780	-0.000623
94	64.4848	32.5478	48.7069	4.0	-0.130432	-0.126977	0.003455
95	51.3347	35.5282	56.6662	4.0	-0.129589	-0.130765	-0.001175
96	64.3431	33.2591	59.2872	3.0	-0.163084	-0.164377	-0.001294
97	57.4385	39.1737	52.9733	3.0	-0.168747	-0.169704	-0.000957
98	51.4163	33.4609	56.8063	3.0	-0.124546	-0.125453	-0.000907
99	59.5599	37.2491	61.1236	3.0	-0.168134	-0.170369	-0.002235
100	62.3456	38.0678	51.1497	4.0	-0.144408	-0.143915	0.000493
101	54.4686	36.1016	52.8608	2.0	-0.164863	-0.166579	-0.001716
102	51.8048	36.4379	53.5833	4.0	-0.127397	-0.128511	-0.001113
103	58.3030	39.6841	60.0310	3.0	-0.161192	-0.162067	-0.000875
104	52.6572	34.3683	54.9792	2.0	-0.148560	-0.150010	-0.001451
105	54.8373	30.6772	58.9064	2.0	-0.140998	-0.144868	-0.003870
106	55.3409	39.2833	52.3021	4.0	-0.140274	-0.141036	-0.000762
107	56.8891	31.7480	48.6105	4.0	-0.131802	-0.129929	0.001873
108	58.4299	26.9493	52.9620	4.0	-0.138570	-0.136441	0.002129
109	51.8579	28.9079	57.5683	4.0	-0.103304	-0.104406	-0.001103
110	49.9437	32.8753	54.1861	4.0	-0.104675	-0.105369	-0.000694
111	64.5625	28.2877	58.8855	4.0	-0.132245	-0.131930	0.000315
112	66.9422	29.7612	55.8098	4.0	-0.135006	-0.132700	0.002305
113	51.8986	31.6182	55.2259	2.0	-0.119590	-0.119727	-0.000137
114	63.3416	37.4675	59.4937	3.0	-0.152886	-0.154692	-0.001807
115	61.6130	36.2398	51.8508	2.0	-0.184493	-0.183929	0.000564
116	53.1854	33.5552	52.0381	2.0	-0.140951	-0.142780	-0.001829
117	56.8963	34.9831	60.8286	2.0	-0.185958	-0.192278	-0.006319
118	61.2534	39.0411	55.2020	2.0	-0.191204	-0.192511	-0.001307
119	52.3645	33.6222	53.6624	2.0	-0.136472	-0.138109	-0.001637
120	59.0452	31.8008	61.9027	3.0	-0.147009	-0.152281	-0.005272
121	57.9714	29.8985	59.1815	2.0	-0.161892	-0.168100	-0.006207
122	59.1952	26.0422	57.4651	4.0	-0.124719	-0.124959	-0.000240
123	65.8083	35.3819	52.0623	4.0	-0.143008	-0.141092	0.001915
124	51.8793	34.7315	59.1477	4.0	-0.129270	-0.130958	-0.001688
125	55.7627	28.5521	52.0742	3.0	-0.136882	-0.136064	0.000818
126	59.2959	34.1910	47.9392	4.0	-0.131958	-0.130091	0.001867
127	51.0750	32.0442	53.6355	3.0	-0.112809	-0.113586	-0.000777
128	54.6244	33.1454	51.0240	2.0	-0.151363	-0.151691	-0.000327
129	59.0438	30.7611	49.8382	3.0	-0.162395	-0.157823	0.004573
130	64.1492	26.8745	56.7799	4.0	-0.132086	-0.130566	0.001521
131	54.7347	32.5125	58.7898	2.0	-0.167328	-0.172926	-0.005599
132	64.4905	31.8625	60.4877	4.0	-0.140471	-0.141644	-0.001173
133	62.1348	38.1997	61.1176	4.0	-0.139893	-0.141456	-0.001563
134	60.2385	28.5020	54.1003	2.0	-0.192247	-0.187463	0.004784
135	59.7555	39.3200	51.6927	4.0	-0.148306	-0.148526	-0.000220
136	60.8611	27.9954	51.6129	3.0	-0.157292	-0.151894	0.005398
137	58.3836	28.8387	60.9639	4.0	-0.129606	-0.132885	-0.003278
138	64.5470	31.2306	50.0980	3.0	-0.150070	-0.144572	0.005499
139	57.5308	27.1558	57.2244	3.0	-0.132899	-0.133919	-0.001020
140	66.6260	34.2482	53.2855	4.0	-0.144789	-0.142518	0.002270
