#     Step;   Iter;    t_Ener;    t_Grad;       Temp;             E_Pot;        Delta E;      RMS(Grad);      Max(Grad);    Max(Step)
         1;     14;     99.18;     42.40;           ;    -1073.15841619;               ;               ;               ;             
         2;      8;     75.73;     40.87;           ;    -1073.19938006;    -0.04096387;       117.3340;       699.5936;     0.002819
         3;     12;     90.59;     46.75;           ;    -1074.10142528;    -0.90204521;        48.7812;       399.2905;     0.076982
         4;     12;     93.63;     41.43;           ;    -1074.29304768;    -0.19162240;        43.2055;       451.4845;     0.067735
         5;     13;     99.82;     41.81;           ;    -1074.38707444;    -0.09402676;        57.3784;      1172.0206;     0.107834
         6;     13;     94.71;     42.54;           ;    -1074.60649197;    -0.21941753;        43.6960;       702.7970;     0.146623
         7;     13;     95.92;     41.31;           ;    -1074.62406129;    -0.01756932;        46.1408;       793.7647;     0.057720
         8;     13;     97.04;     46.65;           ;    -1074.75891738;    -0.13485609;        49.3422;      1491.1183;     0.114190
         9;     12;     92.66;     44.84;           ;    -1074.84720486;    -0.08828748;        30.0644;       285.1519;     0.132668
        10;     11;     92.96;     41.82;           ;    -1074.89574242;    -0.04853756;        22.6592;       434.5108;     0.021148
        11;     11;     76.25;     42.19;           ;    -1074.91328238;    -0.01753997;        31.5589;       644.5367;     0.022951
        12;     12;     78.60;     42.16;           ;    -1074.96118372;    -0.04790134;        20.7287;       172.2721;     0.057342
        13;     11;     76.25;     45.81;           ;    -1074.96917249;    -0.00798876;        26.2232;       495.9533;     0.039861
        14;     11;     72.10;     40.82;           ;    -1075.01571327;    -0.04654078;        19.1037;       337.5544;     0.020474
        15;     11;     75.07;     40.76;           ;    -1075.03714991;    -0.02143664;        23.0045;       214.6810;     0.026610
        16;     11;     70.92;     44.63;           ;    -1075.07985202;    -0.04270211;        15.3426;        82.1011;     0.021771
        17;     11;     72.20;     41.45;           ;    -1075.09889508;    -0.01904306;        23.5235;       277.0999;     0.027237
        18;     11;     68.75;     39.96;           ;    -1075.13565304;    -0.03675795;        16.7320;       167.7664;     0.023625
        19;     10;     62.75;     48.12;           ;    -1075.14429269;    -0.00863966;        22.7904;       310.0459;     0.018319
        20;     10;     63.15;     42.27;           ;    -1075.17819909;    -0.03390640;        15.5000;       173.4660;     0.022354
        21;     10;     66.03;     46.29;           ;    -1075.18927916;    -0.01108007;        21.8585;       334.6523;     0.022070
        22;     11;     60.02;     46.68;           ;    -1075.21783895;    -0.02855979;        14.2857;       143.1210;     0.026461
        23;     10;     58.83;     42.21;           ;    -1075.22507920;    -0.00724025;        18.6044;       290.8847;     0.021797
        24;      9;     57.95;     44.12;           ;    -1075.24998720;    -0.02490800;        13.3683;       163.5988;     0.021819
        25;     11;     60.54;     40.09;           ;    -1075.26520543;    -0.01521823;        17.5683;       197.0587;     0.035387
        26;     11;     59.01;     38.16;           ;    -1075.29081718;    -0.02561175;        12.9646;       125.0983;     0.021026
