idx	x	y	z	shell	standoff	nx	ny	nz
357	59.4325	40.3273	53.7571	3.0	2.998	0.0843	0.7942	-0.6017
358	55.2325	27.4817	57.2110	3.0	3.000	-0.4431	-0.8731	0.2034
359	59.7325	36.7273	61.2659	3.0	2.999	-0.0516	0.4044	0.9131
360	59.7325	30.1599	60.5110	3.0	3.001	0.2024	-0.4339	0.8779
361	57.6325	30.1123	50.9110	3.0	3.000	-0.1929	-0.7310	-0.6546
362	65.7325	29.5273	55.2359	3.0	2.998	0.8925	-0.4468	-0.0615
363	56.1325	38.5751	52.7110	3.0	3.000	-0.2513	0.9608	-0.1172
364	60.6325	27.6432	53.0110	3.0	3.000	-0.1389	-0.9550	-0.2621
365	64.2325	36.1273	50.6234	4.0	4.000	0.4853	0.6741	-0.5569
366	50.4325	31.0273	57.2136	4.0	4.000	-0.8770	-0.2001	0.4368
367	57.6325	40.9273	60.0688	4.0	3.999	-0.2456	0.7286	0.6393
368	62.4325	28.6273	60.1458	4.0	4.000	0.1531	-0.5249	0.8373
369	54.0831	37.6273	50.6110	4.0	3.999	-0.5971	0.6138	-0.5165
370	58.2325	28.3273	51.0675	4.0	3.998	-0.5057	-0.7309	-0.4584
371	65.4038	36.4273	59.0110	4.0	4.000	0.9012	0.2548	0.3506
372	56.4325	33.1273	63.0349	4.0	4.000	-0.3139	-0.1326	0.9402
373	66.1470	28.9273	53.6110	4.0	3.999	0.8127	-0.4815	-0.3283
374	60.0325	41.1369	53.3110	4.0	3.999	0.1765	0.7737	-0.6084
375	51.5450	37.3273	57.5110	4.0	4.000	-0.9533	0.2952	0.0640
376	55.5325	26.2282	56.9110	4.0	4.000	-0.3015	-0.9473	0.1085
377	51.9325	31.8479	50.3110	4.0	3.998	-0.6447	-0.1401	-0.7514
378	58.8325	34.0273	47.9858	4.0	4.000	-0.1387	-0.0053	-0.9903
379	63.0325	30.1273	48.4207	4.0	4.000	0.2933	-0.3795	-0.8775
380	61.8325	26.1995	55.1110	4.0	4.000	-0.0186	-0.9985	-0.0512
381	61.5325	35.5273	62.6106	4.0	4.000	0.2748	0.2259	0.9346
382	66.8147	31.3273	57.8110	4.0	4.000	0.9224	-0.1082	0.3708
383	62.1325	40.8531	58.4110	4.0	3.999	0.6176	0.7215	0.3130
384	55.5403	41.2273	56.0110	4.0	4.000	-0.5640	0.8158	-0.1279
385	50.4096	34.3273	53.9110	4.0	4.000	-0.8897	0.4183	-0.1827
386	54.0325	29.2273	60.2926	4.0	3.999	-0.5367	-0.4303	0.7259
387	52.5325	27.8853	53.6110	4.0	3.999	-0.5010	-0.8136	-0.2950
388	66.6858	34.0273	53.9110	4.0	4.000	0.9185	0.3923	0.0488
389	54.5610	37.6273	61.7110	4.0	3.999	-0.4222	0.2912	0.8585
390	58.8325	38.2273	49.9448	4.0	3.999	0.2549	0.7090	-0.6575
391	64.2325	38.2273	54.1905	4.0	4.000	0.6640	0.6596	-0.3523
392	52.6512	33.7273	59.9110	4.0	3.999	-0.7357	-0.4049	0.5429
393	64.1183	32.5273	61.1110	4.0	3.999	0.6550	-0.1987	0.7290
394	58.5325	29.7401	61.7110	4.0	3.999	0.0693	-0.7363	0.6731
395	54.6325	33.7273	48.6606	4.0	3.999	-0.5192	-0.0699	-0.8518
396	62.7325	27.1606	51.2110	4.0	4.000	0.1882	-0.8898	-0.4158
397	65.4325	27.6320	56.3110	4.0	3.999	0.6363	-0.7527	0.1690
398	66.3078	31.6273	50.6110	4.0	4.000	0.8430	-0.1125	-0.5260
399	59.4325	26.3313	58.4110	4.0	4.000	-0.0152	-0.9332	0.3591
400	60.9325	39.1273	61.1223	4.0	4.000	0.3519	0.4389	0.8267
401	58.5325	42.3211	56.9110	4.0	4.000	-0.0781	0.9964	0.0331
402	62.4325	33.7273	48.1520	4.0	4.000	0.1874	0.2652	-0.9458
403	57.9325	26.4495	54.2110	4.0	4.000	-0.0387	-0.9646	-0.2609
404	53.7325	39.7273	59.4095	4.0	3.999	-0.5328	0.7221	0.4413
405	54.6325	28.9273	50.2919	4.0	4.000	-0.2119	-0.6807	-0.7012
406	56.7325	40.1604	52.7110	4.0	3.999	-0.4029	0.5550	-0.7277
407	52.8325	37.6273	53.6425	4.0	3.999	-0.7239	0.3597	-0.5887
408	50.2555	30.7273	53.6110	4.0	4.000	-0.9179	-0.2566	-0.3027
409	57.6325	36.4273	62.6279	4.0	4.000	-0.0939	0.4674	0.8790
410	59.4929	30.4273	48.5110	4.0	3.999	-0.3595	-0.3360	-0.8706
411	61.8325	38.7575	52.1110	4.0	4.000	0.4420	0.8574	-0.2635
412	60.6325	32.2273	62.6593	4.0	4.000	0.4500	-0.2954	0.8427
413	52.8325	28.3273	57.7863	4.0	4.000	-0.4622	-0.7332	0.4988
414	51.5977	34.6273	51.2110	4.0	4.000	-0.7419	0.4022	-0.5365
415	65.8267	35.8273	55.7110	4.0	4.000	0.9863	0.1157	-0.1179
416	51.3325	34.6273	57.8301	4.0	4.000	-0.7248	0.4305	0.5380
417	57.0325	27.7273	60.1647	4.0	3.999	-0.0086	-0.7610	0.6487
418	56.1325	36.4273	48.5557	4.0	4.000	-0.1788	0.4004	-0.8987
419	61.8325	36.8706	49.4110	4.0	3.999	0.3173	0.6153	-0.7216
420	56.4325	31.0273	49.0894	4.0	4.001	-0.1324	-0.4863	-0.8637
421	67.2009	30.7273	55.1110	4.0	4.000	0.9731	-0.2048	-0.1051
422	62.4325	40.7904	55.1110	4.0	3.999	0.5979	0.7514	-0.2791
423	63.9325	35.2273	61.3545	4.0	3.999	0.6951	0.1195	0.7089
424	65.1325	29.2223	50.3110	4.0	4.000	0.6340	-0.5031	-0.5873
425	62.4325	26.5782	57.5110	4.0	4.000	0.1023	-0.9424	0.3185
426	65.4325	30.1273	59.4101	4.0	3.999	0.6492	-0.2752	0.7091
427	64.5325	27.1040	54.2110	4.0	4.000	0.5250	-0.8079	-0.2676
428	55.2325	27.3146	52.4110	4.0	4.000	-0.1040	-0.9139	-0.3925
429	63.6064	38.5273	59.9110	4.0	4.000	0.5388	0.6056	0.5856
430	51.9325	36.4273	59.4670	4.0	3.998	-0.8950	0.0766	0.4393
