idx	x	y	z	shell	standoff	nx	ny	nz
76	63.8945	32.1042	59.6704	3.0	3.018	0.7942	-0.1442	0.5903
77	61.1007	29.0794	48.7631	4.0	3.996	-0.0818	-0.5437	-0.8353
78	51.6571	31.7457	50.6047	4.0	3.998	-0.7091	-0.1387	-0.6913
79	54.8902	36.9299	63.1339	5.0	4.997	-0.3172	0.1568	0.9353
80	55.0190	27.4725	55.8398	3.0	2.995	-0.4509	-0.8887	-0.0834
81	54.7459	39.1928	62.1961	5.0	4.996	-0.3129	0.5240	0.7922
82	52.9664	28.1797	57.7750	4.0	4.024	-0.6622	-0.6315	0.4034
83	64.4093	32.3080	62.1459	5.0	4.996	0.6114	-0.1723	0.7723
84	56.7183	29.9084	61.6099	4.0	4.020	-0.2643	-0.5312	0.8049
85	58.1995	36.5063	63.7578	5.0	4.998	-0.0350	0.4417	0.8965
86	57.8576	42.1932	60.1380	5.0	4.997	-0.1590	0.8302	0.5344
87	64.1685	28.8439	48.3609	5.0	4.997	0.3919	-0.5125	-0.7640
88	60.3485	27.1333	49.3109	5.0	4.999	-0.1651	-0.7533	-0.6366
89	57.2658	32.2116	63.0849	4.0	3.998	-0.2025	-0.2932	0.9344
90	53.6297	33.0902	62.3791	5.0	5.000	-0.6955	-0.0836	0.7136
91	61.9700	27.4039	59.0633	4.0	4.000	0.0671	-0.7796	0.6227
92	59.8123	26.3225	60.2892	5.0	4.996	0.0830	-0.7657	0.6378
93	63.8944	35.3043	48.1838	5.0	4.998	0.3395	0.4970	-0.7986
94	65.0797	28.6426	55.9869	3.0	2.998	0.7366	-0.6724	0.0721
95	64.8206	33.2191	47.8311	5.0	4.998	0.4835	0.1814	-0.8563
96	51.5142	27.6742	52.7046	5.0	4.998	-0.5607	-0.7304	-0.3901
97	56.1314	41.9557	59.5630	5.0	4.998	-0.4307	0.7886	0.4388
98	54.3191	41.8594	57.0833	5.0	4.998	-0.4017	0.9157	0.0078
99	62.9061	39.1703	51.5693	5.0	4.997	0.5167	0.8122	-0.2709
100	63.9850	36.8013	51.5082	4.0	3.998	0.4664	0.7998	-0.3778
101	60.9103	26.9533	60.7132	5.0	4.997	0.2334	-0.6786	0.6965
102	51.4515	36.0601	55.0573	4.0	3.996	-0.7671	0.6312	0.1150
103	53.7676	39.1572	57.1292	3.0	2.996	-0.6544	0.7560	0.0114
104	53.6318	38.6985	61.9136	5.0	4.996	-0.4999	0.4339	0.7496
105	52.5921	31.0305	59.5624	4.0	4.013	-0.6286	-0.1758	0.7576
