#     Step;   Iter;    t_Ener;    t_Grad;       Temp;             E_Pot;        Delta E;      RMS(Grad);      Max(Grad);    Max(Step)
         1;     14;    107.77;     45.67;           ;    -1074.12824615;               ;               ;               ;             
         2;      5;     63.64;     42.26;           ;    -1074.16783240;    -0.03958626;       115.4167;       537.3517;     0.002145
         3;      9;     74.90;     45.20;           ;    -1075.06713094;    -0.89929854;        45.4762;       150.8237;     0.078106
         4;      7;     67.74;     42.08;           ;    -1075.07792986;    -0.01079892;        52.9520;       210.2970;     0.009598
         5;     11;     82.98;     44.46;           ;    -1075.25233823;    -0.17440838;        40.7454;       211.3209;     0.026068
         6;     12;     88.40;     41.48;           ;    -1075.43142789;    -0.17908966;        48.2365;       686.7799;     0.064569
         7;     12;     91.42;     44.98;           ;    -1075.59940709;    -0.16797920;        41.0293;       451.2770;     0.089202
         8;     11;     89.70;     45.50;           ;    -1075.70326603;    -0.10385893;        27.7145;       443.1567;     0.030369
         9;     11;     88.74;     40.94;           ;    -1075.74955796;    -0.04629194;        32.9390;       482.0678;     0.038358
        10;     10;     87.12;     46.95;           ;    -1075.81236987;    -0.06281190;        27.8523;       574.8755;     0.075652
        11;     11;     89.16;     41.94;           ;    -1075.86043699;    -0.04806712;        21.1840;       334.8170;     0.026059
        12;     12;     94.61;     44.87;           ;    -1075.88764631;    -0.02720932;        27.1881;       454.8268;     0.041366
        13;     12;     85.30;     46.76;           ;    -1075.94468331;    -0.05703700;        17.7427;       181.6048;     0.046986
        14;     11;     79.28;     42.11;           ;    -1075.95398589;    -0.00930258;        22.3730;       250.2760;     0.028857
        15;     11;     85.90;     44.03;           ;    -1075.99327210;    -0.03928621;        16.0468;       174.0240;     0.026694
        16;     11;     86.47;     41.84;           ;    -1076.00356694;    -0.01029484;        23.7107;       428.5235;     0.022407
        17;     11;     69.37;     42.25;           ;    -1076.03939997;    -0.03583303;        16.5457;       133.7463;     0.021156
        18;     11;     72.45;     41.65;           ;    -1076.05267009;    -0.01327012;        22.4826;       244.7688;     0.022965
        19;     11;     69.01;     42.93;           ;    -1076.08755081;    -0.03488072;        14.7063;       112.7495;     0.023610
        20;     11;     66.49;     40.71;           ;    -1076.09800807;    -0.01045726;        19.6295;       218.2197;     0.021912
        21;     11;     66.55;     41.19;           ;    -1076.12597801;    -0.02796994;        13.7949;       102.9988;     0.023700
        22;     11;     59.90;     39.97;           ;    -1076.13687747;    -0.01089946;        19.5351;       222.6165;     0.026917
        23;     11;     57.46;     48.75;           ;    -1076.16356103;    -0.02668356;        14.1903;       110.4375;     0.023003
        24;     11;     66.22;     41.80;           ;    -1076.16721407;    -0.00365304;        18.5891;       265.2196;     0.012360
        25;     10;     59.87;     44.12;           ;    -1076.18994012;    -0.02272605;        12.6760;       117.5317;     0.025547
        26;     10;     56.22;     37.36;           ;    -1076.19828572;    -0.00834560;        16.8290;        91.8722;     0.028125
        27;     10;     59.75;     32.58;           ;    -1076.21744322;    -0.01915750;        13.2756;       135.5260;     0.016391
        28;      9;     47.18;     29.77;           ;    -1076.21935479;    -0.00191156;        16.8030;       169.6997;     0.007086
        29;     10;     40.20;     25.89;           ;    -1076.23903434;    -0.01967956;        12.1167;        80.9893;     0.038318
        30;     10;     40.42;     25.69;           ;    -1076.24166636;    -0.00263201;        15.1107;       110.4075;     0.021239
        31;     10;     37.00;     24.63;           ;    -1076.25958536;    -0.01791900;        11.0885;        78.2670;     0.016014
        32;      9;     36.87;     24.70;           ;    -1076.26215346;    -0.00256810;        14.6324;       161.3351;     0.008788
        33;     11;     39.90;     24.08;           ;    -1076.27771311;    -0.01555965;         9.8864;        57.5602;     0.025925
        34;      9;     36.32;     23.90;           ;    -1076.28202787;    -0.00431477;        13.7528;       136.5921;     0.023104
        35;      9;     37.06;     23.80;           ;    -1076.29588254;    -0.01385467;         9.9936;        79.6123;     0.017316
        36;     11;     38.74;     23.65;           ;    -1076.30187600;    -0.00599345;        14.5269;       152.9799;     0.021276
