# from /home/18660916/system_development/05_qmmm/19_ensemble/frame_14155/neb.out
# the barrier is the dE(kcal/mol) of the row marked '<= CI'

---------------------------------------------------------------
                         PATH SUMMARY              
---------------------------------------------------------------
All forces in Eh/Bohr.

Image Dist.(Ang.)    E(Eh)   dE(kcal/mol)  max(|Fp|)  RMS(Fp)
  0     0.000   -1076.12363      0.00       0.07534   0.00907
  1     0.814   -1076.12596     -1.47       0.07534   0.00906
  2     1.680   -1076.12679     -1.98       0.07534   0.00906
  3     2.708   -1076.12617     -1.59       0.07534   0.00907
  4     3.413   -1076.12229      0.84       0.07534   0.00907
  5     3.809   -1076.11017      8.45       0.07534   0.00907
  6     4.212   -1076.10516     11.59       0.07533   0.00907 <= CI
  7     4.566   -1076.11082      8.04       0.07533   0.00907
  8     4.985   -1076.12614     -1.58       0.07533   0.00908
  9     6.427   -1076.14970    -16.36       0.07533   0.00908

