# from /home/18660916/system_development/05_qmmm/19_ensemble/frame_08170/neb.out
# the barrier is the dE(kcal/mol) of the row marked '<= CI'

---------------------------------------------------------------
                         PATH SUMMARY              
---------------------------------------------------------------
All forces in Eh/Bohr.

Image Dist.(Ang.)    E(Eh)   dE(kcal/mol)  max(|Fp|)  RMS(Fp)
  0     0.000   -1075.54974      0.00       0.07713   0.00936 <= CI
  1     1.229   -1075.55416     -2.77       0.07714   0.00936
  2     2.503   -1075.55793     -5.13       0.07714   0.00936
  3     3.794   -1075.56275     -8.16       0.07714   0.00936
  4     5.114   -1075.56734    -11.04       0.07714   0.00936
  5     6.501   -1075.57086    -13.25       0.07713   0.00936
  6     7.928   -1075.57309    -14.65       0.07713   0.00936
  7     9.401   -1075.56971    -12.53       0.07713   0.00936
  8    10.909   -1075.57087    -13.25       0.07713   0.00936
  9    12.394   -1075.58161    -19.99       0.07713   0.00937

