# from /home/18660916/system_development/05_qmmm/19_ensemble/frame_15825/neb.out
# the barrier is the dE(kcal/mol) of the row marked '<= CI'

---------------------------------------------------------------
                         PATH SUMMARY              
---------------------------------------------------------------
All forces in Eh/Bohr.

Image Dist.(Ang.)    E(Eh)   dE(kcal/mol)  max(|Fp|)  RMS(Fp)
  0     0.000   -1076.19405      0.00       0.06497   0.00905
  1     1.599   -1076.19195      1.32       0.06482   0.00904
  2     2.391   -1076.18318      6.82       0.06491   0.00905
  3     2.781   -1076.16971     15.27       0.06489   0.00905
  4     3.152   -1076.15627     23.71       0.06500   0.00905
  5     3.462   -1076.15380     25.26       0.06502   0.00905 <= CI
  6     3.769   -1076.15830     22.43       0.06503   0.00905
  7     4.095   -1076.17222     13.70       0.06517   0.00905
  8     4.583   -1076.18326      6.77       0.06511   0.00905
  9     5.757   -1076.18737      4.19       0.06505   0.00905

