# from /home/18660916/system_development/05_qmmm/19_ensemble/frame_19185/neb.out
# the barrier is the dE(kcal/mol) of the row marked '<= CI'

---------------------------------------------------------------
                         PATH SUMMARY              
---------------------------------------------------------------
All forces in Eh/Bohr.

Image Dist.(Ang.)    E(Eh)   dE(kcal/mol)  max(|Fp|)  RMS(Fp)
  0     0.000   -1075.52195      0.00       0.08174   0.00903
  1     1.063   -1075.52594     -2.50       0.08175   0.00902
  2     2.166   -1075.52954     -4.76       0.08176   0.00902
  3     3.539   -1075.53307     -6.98       0.08177   0.00903
  4     5.442   -1075.52454     -1.62       0.08180   0.00903
  5     5.671   -1075.51607      3.69       0.08180   0.00903
  6     5.855   -1075.51481      4.48       0.08180   0.00903 <= CI
  7     6.235   -1075.52116      0.50       0.08179   0.00903
  8     7.784   -1075.55398    -20.10       0.08178   0.00902
  9     9.556   -1075.55944    -23.53       0.08179   0.00903

