# from /home/18660916/system_development/05_qmmm/19_ensemble/frame_02450/neb.out
# the barrier is the dE(kcal/mol) of the row marked '<= CI'

---------------------------------------------------------------
                         PATH SUMMARY              
---------------------------------------------------------------
All forces in Eh/Bohr.

Image Dist.(Ang.)    E(Eh)   dE(kcal/mol)  max(|Fp|)  RMS(Fp)
  0     0.000   -1076.52728      0.00       0.08103   0.00903
  1     0.969   -1076.52968     -1.50       0.08103   0.00903
  2     2.337   -1076.52641      0.55       0.08103   0.00903
  3     2.766   -1076.51405      8.30       0.08103   0.00903
  4     3.052   -1076.50038     16.88       0.08102   0.00903
  5     3.343   -1076.49611     19.56       0.08101   0.00903 <= CI
  6     3.595   -1076.49955     17.40       0.08101   0.00903
  7     3.868   -1076.51210      9.53       0.08101   0.00903
  8     4.296   -1076.52571      0.99       0.08100   0.00904
  9     5.657   -1076.53186     -2.87       0.08100   0.00904

