# from /home/18660916/system_development/05_qmmm/19_ensemble/frame_05680/neb.out
# the barrier is the dE(kcal/mol) of the row marked '<= CI'

---------------------------------------------------------------
                         PATH SUMMARY              
---------------------------------------------------------------
All forces in Eh/Bohr.

Image Dist.(Ang.)    E(Eh)   dE(kcal/mol)  max(|Fp|)  RMS(Fp)
  0     0.000   -1076.29318      0.00       0.07148   0.00921
  1     0.799   -1076.29641     -2.02       0.07148   0.00921
  2     1.583   -1076.29886     -3.56       0.07148   0.00921
  3     2.421   -1076.30197     -5.51       0.07148   0.00921
  4     3.837   -1076.30434     -7.00       0.07148   0.00921
  5     4.965   -1076.29275      0.27       0.07148   0.00921
  6     5.278   -1076.27603     10.76       0.07149   0.00921
  7     5.610   -1076.26909     15.12       0.07148   0.00921 <= CI
  8     6.183   -1076.28667      4.09       0.07147   0.00921
  9     7.806   -1076.30996    -10.53       0.07147   0.00921

