#     Step;   Iter;    t_Ener;    t_Grad;       Temp;             E_Pot;        Delta E;      RMS(Grad);      Max(Grad);    Max(Step)
         1;     12;     86.85;     39.44;           ;    -1073.55232803;               ;               ;               ;             
         2;      7;     58.47;     41.02;           ;    -1073.59654235;    -0.04421433;       121.9454;       626.0360;     0.002487
         3;     13;     83.45;     43.66;           ;    -1074.58546005;    -0.98891770;        47.7822;       157.8164;     0.085386
         4;     10;     68.69;     44.22;           ;    -1074.59701128;    -0.01155123;        55.4426;       210.2791;     0.010319
         5;     11;     76.22;     45.71;           ;    -1074.78770767;    -0.19069639;        42.6974;       218.4166;     0.035364
         6;     10;     69.53;     41.45;           ;    -1074.97175280;    -0.18404513;        50.7159;       628.6531;     0.084841
         7;     12;     80.01;     43.82;           ;    -1075.15745751;    -0.18570472;        42.4174;       527.2510;     0.081874
         8;     12;     78.83;     40.68;           ;    -1075.26548910;    -0.10803158;        30.6279;       574.2726;     0.054318
         9;     12;     74.15;     43.40;           ;    -1075.28696681;    -0.02147771;        44.3096;      1145.0523;     0.040125
        10;     10;     69.54;     41.65;           ;    -1075.35895302;    -0.07198621;        30.1496;       598.4537;     0.094957
        11;     11;     75.75;     42.85;           ;    -1075.40268110;    -0.04372808;        22.3312;       323.0136;     0.030574
        12;     12;     77.80;     40.73;           ;    -1075.42605337;    -0.02337228;        30.3058;       514.6355;     0.046035
        13;     11;     74.33;     42.43;           ;    -1075.47985278;    -0.05379940;        20.7868;       304.7452;     0.022776
        14;     11;     70.87;     43.87;           ;    -1075.50676936;    -0.02691659;        25.3939;       256.5226;     0.031200
        15;     12;     73.01;     42.43;           ;    -1075.54930382;    -0.04253445;        17.7945;       199.0870;     0.029027
        16;     11;     70.54;     42.08;           ;    -1075.55180873;    -0.00250492;        22.4039;       292.2681;     0.009210
        17;     11;     65.51;     40.39;           ;    -1075.58317814;    -0.03136941;        16.7098;       177.7005;     0.016911
