idx	x_ang	y_ang	z_ang	shell	Dv	standoff
203	16.8835	41.4912	52.7701	2	-0.00089100	3.5162
204	26.6886	33.0935	55.1938	4	-0.00082400	5.1991
205	25.0497	32.1084	56.7915	4	-0.00114700	5.1959
206	27.0148	44.9007	53.8567	4	0.00123600	5.1975
207	15.8906	43.0541	51.2986	4	-0.00047800	5.5186
208	20.2984	48.4828	55.5630	4	0.00193100	5.5165
209	28.1700	41.2855	54.9845	3	0.00067700	4.1966
210	19.5716	36.4261	60.1640	2	-0.00722400	3.1913
211	29.9487	38.6185	57.1117	4	-0.00030700	5.5179
212	27.9232	38.6559	57.0137	2	-0.00171500	3.5175
213	15.6059	40.4408	60.0547	3	-0.00248600	4.1972
214	29.6668	39.2310	58.8426	4	0.00012600	5.5182
215	19.2792	38.8806	61.7716	2	-0.00308500	3.1960
216	28.1891	35.7661	54.0923	4	-0.00083500	5.2087
217	20.0243	45.0536	55.2996	2	0.00071200	3.2541
218	24.8569	45.6724	56.9490	2	0.00427200	3.5155
219	20.1023	39.9915	48.6178	4	-0.00012300	5.5176
220	26.7926	43.7519	61.1028	4	0.00342000	5.6327
221	14.6940	41.3767	56.7493	3	-0.00188100	4.3592
222	19.3259	45.9757	59.4230	2	0.00579200	3.5142
223	24.1827	48.1352	60.8835	4	0.00391200	5.5171
224	19.0051	35.4108	56.9472	2	-0.00926700	3.5151
225	19.6761	46.2158	56.9182	2	0.00319700	3.5128
226	21.7355	35.3751	54.9607	2	-0.00468400	3.2733
227	18.9694	40.5558	50.7502	2	0.00073500	3.5139
228	20.4822	44.9616	50.5676	4	0.00024500	5.5162
229	26.7383	35.9990	52.8359	4	-0.00091700	5.2086
230	14.1456	40.8670	54.3792	4	-0.00143800	5.1958
231	16.0898	40.2055	50.2887	4	-0.00054700	5.5156
232	27.9480	33.5868	56.4052	4	-0.00079400	5.1967
233	19.5257	42.6654	65.0212	4	0.00193800	5.5169
234	20.0238	44.4994	64.8725	4	0.00275400	5.5163
235	16.3526	43.2138	53.0694	3	-0.00104000	4.2685
236	22.8382	47.0722	56.8074	2	0.00478400	3.5145
237	23.0630	37.6249	49.4705	4	-0.00067100	5.5176
238	29.3084	40.7656	56.3203	4	0.00050700	5.1972
239	26.0615	47.3414	56.5296	4	0.00254200	5.5169
240	26.8513	36.3051	55.5279	2	-0.00153200	3.1977
241	16.8919	36.0083	54.9290	3	-0.00455700	4.5151
242	23.1164	38.6334	51.5833	2	-0.00102800	3.5184
243	26.3081	35.6041	59.2717	2	-0.00239000	3.1946
244	20.8813	35.9524	49.7832	4	-0.00111100	5.5174
245	20.2856	47.0846	53.8931	4	0.00105900	5.5157
246	22.5884	39.3747	62.5096	2	0.00136100	3.1922
247	17.9019	43.2571	49.6962	4	-0.00006300	5.5154
248	19.6471	45.2217	53.1588	3	0.00007100	4.5157
249	18.5280	37.8601	52.2517	2	-0.00159200	3.5138
250	26.0938	43.9703	56.9189	2	0.00295600	3.1959
251	23.5712	45.3620	60.8809	2	0.00808400	3.5137
