# from /home/18660916/system_development/05_qmmm/19_ensemble/frame_17505/neb.out
# the barrier is the dE(kcal/mol) of the row marked '<= CI'

---------------------------------------------------------------
                         PATH SUMMARY              
---------------------------------------------------------------
All forces in Eh/Bohr.

Image Dist.(Ang.)    E(Eh)   dE(kcal/mol)  max(|Fp|)  RMS(Fp)
  0     0.000   -1076.01159      0.00       0.06734   0.00901
  1     0.851   -1076.01422     -1.65       0.06722   0.00901
  2     2.230   -1076.01259     -0.63       0.06735   0.00902
  3     2.831   -1076.00280      5.52       0.06746   0.00902
  4     3.147   -1075.98722     15.29       0.06751   0.00902
  5     3.445   -1075.98367     17.52       0.06719   0.00902 <= CI
  6     3.703   -1075.98741     15.17       0.06705   0.00902
  7     3.983   -1076.00036      7.05       0.06682   0.00901
  8     4.444   -1076.01989     -5.21       0.06683   0.00901
  9     6.272   -1076.02944    -11.20       0.06723   0.00902

