#     Step;   Iter;    t_Ener;    t_Grad;       Temp;             E_Pot;        Delta E;      RMS(Grad);      Max(Grad);    Max(Step)
         1;     14;     99.94;     43.89;           ;    -1072.64628079;               ;               ;               ;             
         2;      7;     67.45;     42.36;           ;    -1072.68720277;    -0.04092197;       117.2940;       445.6461;     0.001766
         3;     12;     92.21;     45.60;           ;    -1073.59876692;    -0.91156416;        46.4358;       149.3224;     0.067394
         4;      9;     75.03;     42.61;           ;    -1073.61068163;    -0.01191470;        54.4716;       208.4064;     0.008674
         5;     11;     81.70;     42.24;           ;    -1073.79042432;    -0.17974269;        42.0963;       133.9904;     0.019750
         6;     12;     85.06;     42.56;           ;    -1074.00093897;    -0.21051465;        47.6353;       300.9195;     0.054685
         7;     13;     94.28;     41.94;           ;    -1074.16920407;    -0.16826511;        45.1967;       387.5215;     0.055095
         8;     11;     82.44;     42.79;           ;    -1074.28024395;    -0.11103988;        27.3792;       217.8373;     0.023833
         9;     11;     81.21;     44.67;           ;    -1074.32349534;    -0.04325139;        31.6739;       344.7608;     0.026873
        10;     11;     83.32;     48.81;           ;    -1074.38975792;    -0.06626258;        22.5296;       116.5584;     0.033423
        11;     11;     77.56;     45.05;           ;    -1074.40193486;    -0.01217694;        30.6547;       319.9312;     0.021888
        12;     11;     85.72;     45.22;           ;    -1074.45969032;    -0.05775546;        20.2985;       235.0171;     0.020972
        13;     11;     84.73;     41.91;           ;    -1074.48127211;    -0.02158180;        26.5262;       193.7153;     0.022929
        14;     11;     83.07;     44.96;           ;    -1074.52877338;    -0.04750127;        17.1687;       126.6458;     0.027529
        15;     11;     78.48;     43.20;           ;    -1074.53862846;    -0.00985508;        22.7384;       329.4566;     0.019737
        16;     11;     82.53;     47.81;           ;    -1074.57540684;    -0.03677839;        16.1083;       127.2833;     0.022969
        17;     12;     95.55;     45.54;           ;    -1074.59032336;    -0.01491651;        22.7096;       240.3974;     0.027053
        18;     11;     83.65;     47.49;           ;    -1074.63004258;    -0.03971922;        16.4455;       168.0960;     0.019620
        19;     11;     82.36;     43.07;           ;    -1074.64644445;    -0.01640187;        23.3426;       287.1729;     0.023144
        20;     11;     79.44;     43.08;           ;    -1074.68546228;    -0.03901783;        15.2382;        84.4196;     0.029838
        21;     11;     83.63;     47.78;           ;    -1074.69043110;    -0.00496882;        19.9228;       200.0859;     0.015398
        22;     11;     88.02;     43.83;           ;    -1074.71875381;    -0.02832271;        13.9602;       130.2747;     0.018581
        23;     11;     80.67;     45.50;           ;    -1074.73292235;    -0.01416854;        19.3948;       167.3450;     0.025470
