#     Step;   Iter;    t_Ener;    t_Grad;       Temp;             E_Pot;        Delta E;      RMS(Grad);      Max(Grad);    Max(Step)
         1;     11;     87.00;     45.21;           ;    -1073.87062835;               ;               ;               ;             
         2;      7;     65.42;     43.72;           ;    -1073.91348151;    -0.04285316;       119.9836;       479.2018;     0.001913
         3;     12;     87.00;     42.80;           ;    -1074.83980769;    -0.92632619;        45.7698;       134.6262;     0.063903
         4;      9;     76.50;     45.53;           ;    -1074.85038954;    -0.01058185;        53.1961;       173.8082;     0.007641
         5;     11;     82.95;     47.68;           ;    -1075.02127079;    -0.17088124;        40.8926;       190.8955;     0.020320
         6;     13;    101.63;     48.89;           ;    -1075.20997481;    -0.18870403;        47.1105;       574.2423;     0.053511
         7;     12;     92.89;     43.23;           ;    -1075.36046114;    -0.15048633;        47.4744;       856.6076;     0.095620
         8;     11;     82.64;     47.56;           ;    -1075.46685993;    -0.10639879;        28.7784;       295.4600;     0.036315
         9;     11;     85.25;     41.49;           ;    -1075.52057236;    -0.05371243;        30.5576;       489.1452;     0.050061
        10;     11;     88.88;     45.36;           ;    -1075.58012558;    -0.05955321;        21.6085;       108.8740;     0.030695
        11;     10;     83.17;     44.35;           ;    -1075.59369660;    -0.01357103;        29.9148;       271.6382;     0.023282
        12;      9;     68.88;     48.48;           ;    -1075.64801342;    -0.05431682;        19.4569;       151.7313;     0.017874
        13;      9;     66.68;     48.47;           ;    -1075.67057800;    -0.02256458;        24.3500;       198.3021;     0.021214
        14;     11;     71.17;     49.85;           ;    -1075.71430810;    -0.04373010;        16.3249;        69.3276;     0.023957
        15;     11;     72.28;     42.84;           ;    -1075.72856608;    -0.01425798;        21.5606;       264.3710;     0.023664
        16;     11;     73.15;     46.91;           ;    -1075.76578928;    -0.03722320;        16.2791;        65.6719;     0.026005
        17;     11;     64.04;     43.58;           ;    -1075.77547532;    -0.00968604;        23.9632;       321.6531;     0.022081
        18;     10;     64.12;     46.65;           ;    -1075.81386137;    -0.03838605;        15.7014;        88.9432;     0.021172
        19;     10;     57.09;     46.74;           ;    -1075.82876794;    -0.01490658;        20.9254;       258.7359;     0.023843
        20;     11;     62.50;     44.91;           ;    -1075.85989895;    -0.03113100;        14.3256;        92.8577;     0.021589
        21;     11;     59.49;     41.47;           ;    -1075.86599030;    -0.00609136;        19.3233;       216.1463;     0.014793
        22;      9;     58.24;     47.71;           ;    -1075.89202194;    -0.02603164;        13.2994;       123.7868;     0.017844
        23;      9;     60.09;     45.54;           ;    -1075.90169522;    -0.00967328;        18.2322;       144.9088;     0.019376
        24;      9;     54.91;     47.20;           ;    -1075.92589637;    -0.02420115;        13.0243;        91.6089;     0.018797
        25;      9;     55.99;     40.11;           ;    -1075.93223687;    -0.00634050;        18.3295;       265.2424;     0.015748
        26;     11;     59.04;     37.06;           ;    -1075.95384953;    -0.02161267;        12.3152;        48.6665;     0.018958
        27;     11;     56.58;     37.49;           ;    -1075.95829799;    -0.00444846;        16.5856;       187.8756;     0.013423
        28;      9;     53.46;     30.78;           ;    -1075.97656466;    -0.01826666;        11.6477;        73.7752;     0.016278
        29;      9;     39.82;     26.93;           ;    -1075.98481926;    -0.00825460;        15.8471;       118.1260;     0.020541
        30;     10;     38.88;     25.93;           ;    -1076.00328695;    -0.01846769;        10.4823;        41.4126;     0.019354
        31;      9;     38.30;     26.16;           ;    -1076.00842909;    -0.00514215;        14.0564;       108.9433;     0.016976
        32;     11;     39.73;     25.46;           ;    -1076.02355166;    -0.01512256;         9.7233;        38.3279;     0.017083
        33;     10;     38.47;     25.28;           ;    -1076.02795424;    -0.00440258;        13.4375;        79.8962;     0.015449
        34;      9;     37.79;     24.89;           ;    -1076.04165472;    -0.01370048;         9.4229;        49.3923;     0.016414
        35;      9;     37.46;     24.59;           ;    -1076.04567849;    -0.00402377;        13.2698;        94.8695;     0.014967
        36;     10;     38.60;     24.13;           ;    -1076.05856565;    -0.01288716;         9.4308;        40.5462;     0.020972
        37;     10;     36.67;     24.58;           ;    -1076.06209017;    -0.00352452;        12.9674;        83.6387;     0.018231
        38;     10;     36.50;     25.15;           ;    -1076.07426780;    -0.01217764;         9.8381;        46.7943;     0.018796
        39;      9;     36.75;     24.88;           ;    -1076.07637014;    -0.00210234;        12.8275;        80.2720;     0.011749
        40;     10;     40.15;     24.41;           ;    -1076.08668502;    -0.01031488;        11.8455;        57.3134;     0.040421
        41;      9;     38.84;     24.88;           ;    -1076.09737731;    -0.01069228;         8.5176;        36.4326;     0.018703
        42;      9;     39.92;     24.35;           ;    -1076.10019134;    -0.00281403;        11.3666;        62.5535;     0.015772
        43;     10;     39.61;     24.53;           ;    -1076.11038096;    -0.01018962;         8.0755;        30.7094;     0.021495
        44;     10;     39.01;     24.84;           ;    -1076.11222766;    -0.00184670;        11.0980;        80.0988;     0.013946
        45;     10;     39.26;     25.21;           ;    -1076.12084073;    -0.00861307;         7.4906;        29.0188;     0.014820
        46;     10;     39.57;     24.32;           ;    -1076.12315191;    -0.00231119;        10.0302;        78.4401;     0.012686
        47;     10;     37.45;     24.09;           ;    -1076.13064777;    -0.00749586;         7.0625;        33.1687;     0.019046
        48;     10;     37.19;     24.00;           ;    -1076.13269370;    -0.00204593;         9.7581;        69.6271;     0.016526
        49;     10;     36.62;     24.80;           ;    -1076.13972130;    -0.00702760;         6.8144;        30.1647;     0.013691
        50;      9;     35.70;     24.12;           ;    -1076.14155162;    -0.00183032;         9.3702;        72.9940;     0.011415
        51;      9;     35.72;     24.10;           ;    -1076.14813882;    -0.00658720;         6.7679;        34.7894;     0.021452
        52;      9;     35.67;     24.18;           ;    -1076.15024891;    -0.00211009;         9.4790;        71.4943;     0.021096
        53;     10;     36.87;     24.60;           ;    -1076.15681053;    -0.00656162;         6.9181;        34.8198;     0.013044
        54;      7;     33.11;     24.87;           ;    -1076.15793456;    -0.00112403;         9.2577;        63.7888;     0.008069
        55;     10;     36.55;     24.19;           ;    -1076.16412196;    -0.00618740;         6.4562;        27.6533;     0.025337
        56;     10;     36.92;     24.17;           ;    -1076.16571164;    -0.00158968;         8.5788;        46.1607;     0.021346
        57;      9;     35.98;     24.24;           ;    -1076.17132305;    -0.00561142;         6.3855;        40.3692;     0.011499
        58;      9;     35.43;     24.53;           ;    -1076.17240332;    -0.00108027;         8.6205;        79.6774;     0.007729
        59;      9;     36.38;     24.19;           ;    -1076.17786018;    -0.00545686;         6.3429;        31.1351;     0.030765
        60;      5;     28.56;     23.88;           ;    -1076.17855393;    -0.00069375;         8.2404;        78.5612;     0.015977
        61;      8;     33.46;     24.10;           ;    -1076.18335860;    -0.00480466;         5.6882;        32.3964;     0.011809
        62;      7;     32.64;     24.05;           ;    -1076.18443928;    -0.00108069;         7.5514;        63.9972;     0.008834
        63;     11;     38.33;     24.29;           ;    -1076.18878579;    -0.00434650;         5.3842;        20.5113;     0.022437
        64;     11;     40.53;     24.22;           ;    -1076.19010258;    -0.00131679;         7.6143;        67.8855;     0.021165
        65;     10;     37.62;     23.92;           ;    -1076.19441856;    -0.00431598;         5.3253;        27.1681;     0.015384
        66;     10;     35.89;     24.27;           ;    -1076.19578963;    -0.00137107;         7.4705;        60.9917;     0.014919
        67;     10;     36.52;     24.41;           ;    -1076.19990298;    -0.00411335;         5.2185;        20.6536;     0.020599
        68;     10;     36.67;     23.95;           ;    -1076.20102892;    -0.00112594;         7.2749;        69.9214;     0.017871
        69;      9;     34.50;     23.94;           ;    -1076.20483761;    -0.00380869;         5.0170;        23.5944;     0.015674
        70;      9;     35.22;     24.11;           ;    -1076.20603397;    -0.00119636;         6.8968;        68.5001;     0.015074
        71;      9;     37.86;     27.23;           ;    -1076.20949236;    -0.00345839;         4.8440;        20.6956;     0.020357
        72;      9;     40.37;     25.57;           ;    -1076.21031744;    -0.00082508;         6.6822;        75.8069;     0.016054
        73;      9;     41.30;     25.20;           ;    -1076.21336702;    -0.00304958;         4.7206;        19.5105;     0.009171
        74;      7;     35.61;     24.94;           ;    -1076.21396789;    -0.00060087;         6.2495;        46.3702;     0.006268
        75;      9;     35.10;     24.81;           ;    -1076.21675342;    -0.00278553;         4.8360;        36.4589;     0.030633
        76;      7;     32.03;     24.60;           ;    -1076.21706122;    -0.00030781;         6.0559;        56.1243;     0.014713
        77;      7;     33.17;     24.71;           ;    -1076.21974495;    -0.00268372;         5.0001;        55.0243;     0.010061
        78;      7;     31.88;     24.21;           ;    -1076.21989767;    -0.00015272;         5.9721;        82.0416;     0.003036
        79;      9;     35.84;     23.91;           ;    -1076.22259872;    -0.00270106;         4.4378;        27.3448;     0.023404
        80;      7;     31.31;     25.71;           ;    -1076.22313871;    -0.00053999;         6.0991;        63.3597;     0.016440
        81;      7;     32.25;     24.84;           ;    -1076.22578287;    -0.00264416;         4.1814;        17.7934;     0.012129
        82;      7;     32.00;     24.00;           ;    -1076.22665156;    -0.00086869;         5.7069;        37.5478;     0.011997
        83;      9;     34.81;     24.79;           ;    -1076.22914863;    -0.00249707;         4.0187;        18.0170;     0.015099
        84;      9;     34.64;     24.32;           ;    -1076.23001168;    -0.00086305;         5.6560;        50.2114;     0.015563
