# from /home/18660916/system_development/05_qmmm/19_ensemble/frame_12485/neb.out
# the barrier is the dE(kcal/mol) of the row marked '<= CI'

---------------------------------------------------------------
                         PATH SUMMARY              
---------------------------------------------------------------
All forces in Eh/Bohr.

Image Dist.(Ang.)    E(Eh)   dE(kcal/mol)  max(|Fp|)  RMS(Fp)
  0     0.000   -1076.60715      0.00       0.08006   0.00906
  1     1.880   -1076.61030     -1.98       0.08008   0.00906
  2     3.387   -1076.60592      0.77       0.08007   0.00906
  3     3.751   -1076.59001     10.76       0.08007   0.00906
  4     4.047   -1076.58631     13.08       0.08006   0.00906 <= CI
  5     4.338   -1076.58980     10.89       0.08007   0.00906
  6     4.637   -1076.60259      2.86       0.08007   0.00906
  7     5.707   -1076.61760     -6.56       0.08007   0.00906
  8     7.666   -1076.62714    -12.54       0.08007   0.00906
  9     9.146   -1076.63040    -14.59       0.08007   0.00907

