# from /home/18660916/system_development/05_qmmm/19_ensemble/frame_10775/neb.out
# the barrier is the dE(kcal/mol) of the row marked '<= CI'

---------------------------------------------------------------
                         PATH SUMMARY              
---------------------------------------------------------------
All forces in Eh/Bohr.

Image Dist.(Ang.)    E(Eh)   dE(kcal/mol)  max(|Fp|)  RMS(Fp)
  0     0.000   -1076.31737      0.00       0.06979   0.00902
  1     0.882   -1076.31921     -1.16       0.06978   0.00902
  2     1.725   -1076.31968     -1.45       0.06978   0.00902
  3     2.604   -1076.31958     -1.39       0.06978   0.00902
  4     3.397   -1076.31593      0.90       0.06977   0.00903
  5     3.938   -1076.30608      7.08       0.06977   0.00903
  6     4.468   -1076.30129     10.09       0.06976   0.00902 <= CI
  7     4.961   -1076.31116      3.89       0.06976   0.00902
  8     5.798   -1076.33952    -13.90       0.06976   0.00902
  9     7.014   -1076.34881    -19.73       0.06975   0.00902

