# from /home/18660916/system_development/05_qmmm/19_ensemble/frame_09025/neb.out
# the barrier is the dE(kcal/mol) of the row marked '<= CI'

---------------------------------------------------------------
                         PATH SUMMARY              
---------------------------------------------------------------
All forces in Eh/Bohr.

Image Dist.(Ang.)    E(Eh)   dE(kcal/mol)  max(|Fp|)  RMS(Fp)
  0     0.000   -1075.67592      0.00       0.07090   0.00893
  1     0.828   -1075.67790     -1.24       0.07089   0.00893
  2     1.993   -1075.67556      0.23       0.07088   0.00893
  3     2.597   -1075.66854      4.63       0.07088   0.00893
  4     2.899   -1075.65592     12.55       0.07088   0.00893
  5     3.163   -1075.65326     14.22       0.07088   0.00893 <= CI
  6     3.335   -1075.65517     13.02       0.07088   0.00893
  7     3.534   -1075.66139      9.12       0.07088   0.00893
  8     3.836   -1075.67679     -0.54       0.07088   0.00893
  9     5.484   -1075.69799    -13.84       0.07087   0.00893

