# from /home/18660916/system_development/05_qmmm/19_ensemble/frame_04085/neb.out
# the barrier is the dE(kcal/mol) of the row marked '<= CI'

---------------------------------------------------------------
                         PATH SUMMARY              
---------------------------------------------------------------
All forces in Eh/Bohr.

Image Dist.(Ang.)    E(Eh)   dE(kcal/mol)  max(|Fp|)  RMS(Fp)
  0     0.000   -1075.99705      0.00       0.06759   0.00896
  1     1.885   -1075.99950     -1.54       0.06759   0.00896
  2     2.848   -1075.98916      4.95       0.06759   0.00896
  3     3.273   -1075.97065     16.56       0.06759   0.00896
  4     3.576   -1075.96255     21.65       0.06759   0.00896
  5     3.827   -1075.96011     23.18       0.06759   0.00896 <= CI
  6     4.174   -1075.96552     19.78       0.06760   0.00896
  7     4.564   -1075.98371      8.37       0.06760   0.00896
  8     5.215   -1075.99381      2.03       0.06760   0.00896
  9     6.579   -1075.99732     -0.17       0.06760   0.00896

