idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
137	18.1134	35.7754	50.9803	4.0	-0.134573	-0.136216	-0.001643
138	25.2778	44.5952	55.2592	2.0	-0.176786	-0.174850	0.001936
139	25.1067	39.4219	61.0667	2.0	-0.169190	-0.166631	0.002558
140	28.1949	37.5247	61.4160	4.0	-0.111327	-0.111555	-0.000229
141	21.4711	40.1008	63.9267	3.0	-0.145994	-0.144565	0.001428
142	20.2820	41.5655	63.9678	3.0	-0.153561	-0.151248	0.002312
143	16.8590	34.2948	55.8184	4.0	-0.127593	-0.131515	-0.003922
144	27.5911	42.4337	57.5023	3.0	-0.153818	-0.151481	0.002337
145	15.4983	38.9713	58.5299	3.0	-0.152472	-0.156300	-0.003828
146	17.6826	33.7969	57.7256	4.0	-0.123048	-0.127380	-0.004332
147	16.9254	36.9167	57.6468	2.0	-0.162390	-0.169845	-0.007455
148	16.4819	45.1579	53.0999	4.0	-0.143777	-0.144133	-0.000357
149	17.0316	38.4040	54.6458	2.0	-0.195910	-0.199443	-0.003534
150	25.1324	36.5827	51.3953	4.0	-0.132784	-0.133740	-0.000956
151	20.7559	35.1293	58.4372	2.0	-0.149796	-0.157057	-0.007261
152	15.0142	42.4449	54.9402	3.0	-0.153230	-0.154719	-0.001489
153	22.5622	46.4854	61.7942	3.0	-0.167080	-0.161025	0.006055
154	19.4297	33.6617	53.6787	4.0	-0.131186	-0.134207	-0.003020
155	19.0789	45.4569	61.1683	2.0	-0.192044	-0.186452	0.005592
156	18.5126	39.9386	62.8872	3.0	-0.150974	-0.151762	-0.000788
157	14.7856	39.2204	53.4061	4.0	-0.142430	-0.144033	-0.001603
158	20.7326	47.3247	62.9063	4.0	-0.137548	-0.133765	0.003783
159	24.9630	44.7103	62.9970	4.0	-0.141790	-0.137888	0.003902
160	19.5097	45.2890	63.2173	3.0	-0.153969	-0.149934	0.004035
161	21.6553	34.7999	50.7879	4.0	-0.129131	-0.130572	-0.001441
162	15.6845	35.6779	58.8527	4.0	-0.124006	-0.127890	-0.003885
163	22.6874	47.2325	58.9611	2.0	-0.188572	-0.181472	0.007100
164	24.8346	34.1497	53.1459	4.0	-0.119590	-0.120769	-0.001179
165	22.1611	33.9307	52.2598	4.0	-0.128055	-0.129859	-0.001805
166	24.3698	35.6675	60.2401	2.0	-0.127329	-0.130451	-0.003121
167	27.3126	39.6859	55.1862	2.0	-0.151139	-0.151552	-0.000412
168	24.1551	32.1110	58.3433	4.0	-0.100440	-0.101959	-0.001519
169	17.0835	35.4210	60.3272	4.0	-0.124119	-0.128236	-0.004116
170	22.0645	35.4689	63.5372	4.0	-0.110460	-0.111725	-0.001265
171	18.7074	41.1517	48.7583	4.0	-0.135536	-0.135594	-0.000058
172	27.5652	40.8566	59.4245	3.0	-0.149903	-0.147745	0.002157
173	18.2825	36.3637	62.0777	4.0	-0.125819	-0.128998	-0.003179
174	17.6709	39.8499	49.1864	4.0	-0.135425	-0.135734	-0.000309
175	28.6777	39.2417	60.7793	4.0	-0.118741	-0.118214	0.000527
176	24.4969	39.5405	63.8163	4.0	-0.131005	-0.129643	0.001362
177	20.7313	39.7554	50.7728	2.0	-0.200544	-0.200029	0.000515
178	28.4704	36.1738	56.9727	3.0	-0.112411	-0.113702	-0.001291
179	19.8276	33.3696	56.2209	4.0	-0.129495	-0.133664	-0.004169
180	22.3959	43.5237	53.2819	2.0	-0.213214	-0.212744	0.000470
181	27.2249	43.6793	55.6542	3.0	-0.149666	-0.147889	0.001776
