#     Step;   Iter;    t_Ener;    t_Grad;       Temp;             E_Pot;        Delta E;      RMS(Grad);      Max(Grad);    Max(Step)
         1;     14;    608.78;    121.80;           ;    -1073.43656262;               ;               ;               ;             
         2;      7;    433.35;    138.75;           ;    -1073.47789556;    -0.04133294;       117.9199;       497.2360;     0.001977
         3;     13;    582.27;    137.86;           ;    -1074.41015257;    -0.93225701;        46.8739;       144.9282;     0.071703
         4;      9;    495.58;    137.76;           ;    -1074.42149028;    -0.01133771;        54.5910;       200.9943;     0.008873
         5;     11;    543.74;    134.60;           ;    -1074.60626330;    -0.18477301;        42.3283;       224.1097;     0.024409
         6;     13;    573.91;    124.88;           ;    -1074.79815946;    -0.19189616;        49.4913;       638.8837;     0.061855
         7;     12;    552.94;    124.67;           ;    -1074.98574862;    -0.18758917;        40.7721;       409.8820;     0.086343
         8;     11;    503.26;    110.49;           ;    -1075.09061704;    -0.10486842;        28.7191;       501.7415;     0.036083
         9;     11;    435.69;     77.68;           ;    -1075.11637414;    -0.02575710;        39.0141;       834.1233;     0.029442
        10;     10;    181.75;     59.83;           ;    -1075.18719262;    -0.07081848;        28.1187;       577.0504;     0.085288
        11;     11;    120.83;     46.54;           ;    -1075.18879009;    -0.00159748;        31.4874;       735.7384;     0.017908
        12;     11;     74.10;     46.34;           ;    -1075.23737498;    -0.04858489;        22.9535;       401.9866;     0.038450
        13;     12;     71.27;     44.70;           ;    -1075.26004910;    -0.02267412;        30.1473;       601.8217;     0.059642
        14;     12;     66.05;     44.06;           ;    -1075.31638794;    -0.05633884;        20.0341;       336.8207;     0.043172
        15;     12;     64.13;     42.18;           ;    -1075.33955395;    -0.02316601;        24.0548;       404.0488;     0.052236
        16;     11;     59.15;     37.44;           ;    -1075.37808993;    -0.03853598;        17.1853;       240.9427;     0.021307
        17;     11;     57.22;     40.51;           ;    -1075.38888755;    -0.01079762;        25.4265;       393.4309;     0.019011
        18;     11;     58.78;     40.46;           ;    -1075.42525074;    -0.03636319;        17.3604;       141.8549;     0.028096
        19;     11;     60.16;     38.20;           ;    -1075.43714597;    -0.01189523;        23.1712;       341.8946;     0.028295
        20;     12;     59.48;     38.03;           ;    -1075.47229107;    -0.03514510;        15.6844;       183.9406;     0.018502
        21;     11;     55.73;     39.23;           ;    -1075.48688680;    -0.01459573;        20.1977;       165.1245;     0.021978
        22;     11;     52.90;     38.28;           ;    -1075.51698191;    -0.03009510;        14.6360;       138.9396;     0.022253
        23;     10;     51.87;     36.17;           ;    -1075.52431096;    -0.00732905;        21.0248;       285.6735;     0.018088
        24;     11;     54.94;     38.27;           ;    -1075.55147241;    -0.02716145;        14.3997;       106.1532;     0.017329
        25;     10;     54.69;     38.01;           ;    -1075.55657152;    -0.00509911;        19.2320;       253.3391;     0.011588
        26;     10;     58.34;     38.06;           ;    -1075.57990595;    -0.02333443;        12.9563;        95.9724;     0.020794
        27;     11;     57.29;     41.10;           ;    -1075.58935983;    -0.00945388;        16.9781;       140.2297;     0.024450
        28;      9;     50.26;     39.27;           ;    -1075.61011181;    -0.02075199;        12.7929;       128.3334;     0.015509
        29;      9;     51.98;     35.73;           ;    -1075.61483349;    -0.00472168;        17.5832;       157.3759;     0.011751
