#     Step;   Iter;    t_Ener;    t_Grad;       Temp;             E_Pot;        Delta E;      RMS(Grad);      Max(Grad);    Max(Step)
         1;     12;     85.32;     42.67;           ;    -1073.45169116;               ;               ;               ;             
         2;      7;     62.86;     39.79;           ;    -1073.49182287;    -0.04013171;       116.2573;       465.9661;     0.001829
         3;     12;     82.94;     42.49;           ;    -1074.42360497;    -0.93178210;        46.7189;       194.4071;     0.076358
         4;      9;     65.15;     49.26;           ;    -1074.43448712;    -0.01088215;        54.3915;       265.8905;     0.009264
         5;     12;     81.51;     43.11;           ;    -1074.62095655;    -0.18646943;        42.4479;       162.3044;     0.021415
         6;     13;     81.64;     43.30;           ;    -1074.82201678;    -0.20106023;        52.4013;       534.3546;     0.055582
         7;     12;     89.69;     45.58;           ;    -1075.00627118;    -0.18425439;        46.6965;       551.2060;     0.076977
         8;     11;     72.82;     45.43;           ;    -1075.11459948;    -0.10832830;        28.5930;       220.5239;     0.031977
         9;      9;     67.56;     42.60;           ;    -1075.16487791;    -0.05027844;        33.4430;       452.4823;     0.041279
        10;     11;     83.84;     46.99;           ;    -1075.23056433;    -0.06568642;        22.7799;       156.7687;     0.035781
        11;      9;     74.42;     47.10;           ;    -1075.24022081;    -0.00965648;        29.9033;       299.0891;     0.020077
        12;     11;     73.85;     43.24;           ;    -1075.29381358;    -0.05359277;        20.9000;       232.6061;     0.021141
        13;     12;     83.16;     47.83;           ;    -1075.32625776;    -0.03244418;        27.0661;       270.5259;     0.033609
        14;     11;     76.74;     45.25;           ;    -1075.37808339;    -0.05182563;        17.3742;       134.0613;     0.028996
        15;      7;     60.41;     44.85;           ;    -1075.38876180;    -0.01067841;        23.0370;       339.1376;     0.020710
        16;     11;     72.81;     42.36;           ;    -1075.42761472;    -0.03885292;        16.0994;        90.9632;     0.026018
        17;     11;     68.28;     46.85;           ;    -1075.44192825;    -0.01431353;        22.7134;       252.1773;     0.028356
        18;     11;     67.66;     43.63;           ;    -1075.48155293;    -0.03962468;        16.1913;       167.2786;     0.022718
        19;     11;     63.93;     44.33;           ;    -1075.50212185;    -0.02056892;        22.6936;       258.4428;     0.032295
        20;     11;     62.56;     42.18;           ;    -1075.53764536;    -0.03552351;        16.4246;       146.1544;     0.034926
        21;      9;     60.42;     42.59;           ;    -1075.53923135;    -0.00158599;        20.1020;       262.2005;     0.009216
        22;     11;     60.37;     41.65;           ;    -1075.56455670;    -0.02532535;        13.8816;        92.9518;     0.020267
        23;     11;     59.79;     41.09;           ;    -1075.57871844;    -0.01416174;        18.1893;       176.1050;     0.030316
        24;     11;     61.50;     35.21;           ;    -1075.60486677;    -0.02614832;        13.3313;        76.1653;     0.018780
        25;     11;     54.89;     34.84;           ;    -1075.61341310;    -0.00854633;        18.8557;       185.4742;     0.018548
        26;     11;     56.22;     28.62;           ;    -1075.63816042;    -0.02474732;        12.7312;        60.3952;     0.025859
        27;     10;     50.50;     27.09;           ;    -1075.64117139;    -0.00301096;        16.7222;       159.5398;     0.012803
