# idx	frame	prod_ps	site	CHA_resid	form_C6_C1	r	Arg90_O13
13	8170	8170.0	CHA#2	383	3.434	-1.931	2.834
14	9900	9900.0	CHA#2	383	2.945	-1.472	2.865
15	11630	11630.0	CHA#2	383	3.152	-1.731	2.917
