#     Step;   Iter;    t_Ener;    t_Grad;       Temp;             E_Pot;        Delta E;      RMS(Grad);      Max(Grad);    Max(Step)
         1;     14;    100.38;     45.82;           ;    -1073.61239181;               ;               ;               ;             
         2;      7;     63.79;     49.98;           ;    -1073.65125454;    -0.03886273;       114.3204;       425.4899;     0.001695
         3;     12;     87.96;     45.36;           ;    -1074.52923930;    -0.87798476;        46.2151;       130.8266;     0.062653
         4;      9;     73.80;     45.80;           ;    -1074.54088350;    -0.01164421;        54.3296;       193.9590;     0.008146
         5;     10;     78.33;     42.22;           ;    -1074.71863418;    -0.17775068;        41.8996;       140.5690;     0.019252
         6;     11;     80.08;     45.19;           ;    -1074.93753536;    -0.21890117;        45.1521;       271.4836;     0.055702
         7;     11;     85.72;     43.23;           ;    -1075.10640994;    -0.16887459;        42.2355;       475.0700;     0.060400
         8;     11;     82.11;     47.67;           ;    -1075.21968906;    -0.11327911;        24.8411;        99.2944;     0.025902
         9;     10;     83.22;     46.75;           ;    -1075.24577347;    -0.02608441;        28.7968;       321.1819;     0.019775
        10;      9;     74.63;     43.18;           ;    -1075.30825125;    -0.06247778;        22.1032;       191.4044;     0.034963
        11;     11;     88.29;     46.65;           ;    -1075.31954010;    -0.01128885;        31.0436;       521.7427;     0.022496
        12;     10;     84.96;     46.96;           ;    -1075.37776736;    -0.05822725;        19.6686;       144.7596;     0.028412
        13;      9;     90.92;     41.47;           ;    -1075.39427200;    -0.01650464;        25.1430;       257.1296;     0.025207
        14;     12;     95.14;     43.95;           ;    -1075.43799767;    -0.04372566;        16.5758;        75.4776;     0.018118
        15;     10;     84.35;     43.78;           ;    -1075.45200710;    -0.01400944;        21.6861;       223.3673;     0.017699
        16;     11;     84.62;     48.22;           ;    -1075.48863982;    -0.03663272;        15.9969;        80.6514;     0.022262
        17;     11;     82.11;     47.14;           ;    -1075.50072815;    -0.01208833;        23.3859;       216.1812;     0.022315
        18;     10;     88.66;     45.22;           ;    -1075.54048309;    -0.03975494;        16.1312;       125.3659;     0.023196
        19;     11;     83.97;     46.63;           ;    -1075.55444187;    -0.01395878;        21.9353;       209.9716;     0.024233
        20;     11;     89.64;     50.21;           ;    -1075.58968717;    -0.03524530;        14.5623;        76.8495;     0.024719
        21;      9;     77.68;     43.40;           ;    -1075.59657312;    -0.00688595;        19.5824;       170.4629;     0.016925
        22;     11;     89.29;     50.93;           ;    -1075.62463000;    -0.02805688;        13.7176;       107.2057;     0.023834
        23;     11;     81.55;     46.10;           ;    -1075.63510628;    -0.01047628;        19.1701;       176.3119;     0.026055
        24;      9;     77.16;     46.87;           ;    -1075.66155399;    -0.02644770;        13.2764;       101.5163;     0.023854
        25;      9;     76.87;     43.77;           ;    -1075.66649948;    -0.00494550;        17.9009;       214.7126;     0.015851
        26;      9;     81.49;     44.71;           ;    -1075.68844766;    -0.02194818;        12.5322;        74.7854;     0.026864
        27;      9;     81.70;     44.23;           ;    -1075.69439375;    -0.00594609;        17.2419;       189.7395;     0.023576
        28;      9;     81.63;     44.54;           ;    -1075.71475803;    -0.02036428;        12.2674;       118.7830;     0.017464
        29;     10;     81.35;     42.57;           ;    -1075.72001341;    -0.00525538;        16.5636;       156.3238;     0.014504
        30;     11;     86.17;     45.99;           ;    -1075.73894908;    -0.01893566;        12.1483;        92.9824;     0.036162
        31;      9;     84.98;     43.09;           ;    -1075.74077812;    -0.00182904;        15.1078;       138.6065;     0.015631
        32;      9;     79.66;     46.32;           ;    -1075.75570062;    -0.01492250;        11.3217;        94.2202;     0.014859
        33;      9;     88.36;     42.20;           ;    -1075.75676401;    -0.00106339;        13.7034;       145.6862;     0.005183
        34;     10;     82.00;     51.21;           ;    -1075.77027577;    -0.01351176;         9.9651;        69.6541;     0.029974
        35;      9;     79.31;     43.63;           ;    -1075.77291783;    -0.00264206;        13.3502;       138.3362;     0.021007
        36;      9;     79.52;     45.84;           ;    -1075.78578174;    -0.01286391;         9.4380;        62.5368;     0.017750
        37;      9;     76.70;     46.81;           ;    -1075.78905387;    -0.00327213;        13.3694;       180.2518;     0.014581
        38;     10;     82.65;     50.39;           ;    -1075.80117153;    -0.01211766;         9.1029;        52.7402;     0.023230
        39;      9;     81.86;     45.69;           ;    -1075.80511980;    -0.00394827;        12.2869;       125.4201;     0.022991
        40;      9;     77.55;     42.90;           ;    -1075.81644000;    -0.01132020;         8.5097;        56.6480;     0.018869
        41;      9;     79.88;     49.11;           ;    -1075.82058545;    -0.00414545;        11.5437;        75.2342;     0.020287
        42;     10;     81.00;     43.18;           ;    -1075.83144104;    -0.01085559;         8.3617;        38.0796;     0.024293
