idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
82	53.8129	34.5660	52.7968	2.0	-0.157678	-0.158730	-0.001051
83	64.7690	38.2576	55.4496	4.0	-0.142661	-0.144218	-0.001557
84	65.3719	33.7077	59.5505	4.0	-0.141245	-0.143323	-0.002078
85	54.8098	29.9336	52.2709	2.0	-0.146117	-0.145377	0.000740
86	62.3492	40.5602	58.8358	4.0	-0.135360	-0.136903	-0.001543
87	53.9491	27.5787	57.1017	4.0	-0.111144	-0.110885	0.000259
88	59.0929	26.5242	54.1214	4.0	-0.140849	-0.138075	0.002774
89	59.4701	34.7742	60.8103	2.0	-0.187532	-0.191350	-0.003819
90	52.5935	39.1422	58.2264	4.0	-0.129384	-0.130691	-0.001307
91	58.0530	39.6472	60.1550	3.0	-0.159882	-0.161433	-0.001551
92	62.6728	28.6972	52.3501	2.0	-0.188048	-0.178396	0.009652
93	60.2459	27.4755	50.2065	4.0	-0.134413	-0.130420	0.003992
94	57.5423	26.5071	56.4904	4.0	-0.128170	-0.127172	0.000997
95	64.9843	34.6072	56.0117	3.0	-0.177047	-0.179147	-0.002100
96	53.8912	34.8003	60.2428	3.0	-0.152121	-0.154578	-0.002457
97	65.3627	32.4018	50.8547	3.0	-0.153339	-0.149877	0.003462
98	65.0479	32.4498	56.3306	2.0	-0.193053	-0.193937	-0.000884
99	63.5495	28.6473	49.2486	4.0	-0.128864	-0.124666	0.004198
100	55.2802	40.0991	53.8602	4.0	-0.144749	-0.146228	-0.001479
101	60.7358	36.7499	48.8441	4.0	-0.132041	-0.131853	0.000188
102	65.6746	30.0463	53.4804	3.0	-0.165112	-0.160294	0.004818
103	61.3855	34.6020	49.1960	3.0	-0.152382	-0.150977	0.001406
104	61.7953	30.8010	47.8212	4.0	-0.129905	-0.126530	0.003375
105	60.5083	27.9736	60.3667	4.0	-0.129993	-0.130787	-0.000794
106	58.9748	41.9502	58.8631	4.0	-0.132639	-0.133792	-0.001153
107	66.5818	31.5081	51.0007	4.0	-0.133317	-0.130471	0.002846
108	60.4189	33.7685	61.8240	3.0	-0.154945	-0.158168	-0.003223
109	57.0811	26.8330	58.1309	4.0	-0.122443	-0.122236	0.000207
110	64.0122	39.0575	58.7074	4.0	-0.135210	-0.137096	-0.001886
111	55.6398	35.3100	48.4694	4.0	-0.120682	-0.120478	0.000204
112	60.2237	28.7243	52.5419	2.0	-0.192234	-0.184690	0.007544
113	54.4916	35.8313	50.6027	3.0	-0.134864	-0.135259	-0.000395
114	53.2003	29.3732	58.9949	4.0	-0.112560	-0.113005	-0.000445
115	59.0059	29.1686	49.1629	4.0	-0.136925	-0.133526	0.003398
116	55.7669	37.8045	60.9672	3.0	-0.156205	-0.158322	-0.002117
117	60.5495	35.8529	60.5790	2.0	-0.183245	-0.186521	-0.003276
118	59.8910	37.9416	52.3051	3.0	-0.175801	-0.177649	-0.001848
119	51.6082	31.2385	53.5928	3.0	-0.114602	-0.114236	0.000366
120	54.5205	33.5721	61.6001	4.0	-0.135368	-0.137656	-0.002288
121	60.3472	40.0764	53.8426	3.0	-0.160926	-0.162685	-0.001759
122	65.6184	36.4640	55.5367	4.0	-0.147496	-0.148910	-0.001414
123	65.0790	29.6989	49.6028	4.0	-0.129197	-0.125336	0.003861
124	53.4971	37.8762	59.2629	3.0	-0.149112	-0.150860	-0.001748
125	53.8052	39.3645	54.0587	4.0	-0.138388	-0.139732	-0.001344
126	63.4831	26.5757	57.4125	4.0	-0.131093	-0.129369	0.001724
127	51.5714	31.5403	51.3429	4.0	-0.108810	-0.108632	0.000179
128	56.2109	37.3285	52.2570	2.0	-0.166721	-0.168547	-0.001826
129	61.8777	26.9331	54.9615	3.0	-0.156754	-0.152413	0.004341
130	59.5086	28.8462	58.5369	2.0	-0.161939	-0.162878	-0.000939
131	64.3096	29.1938	56.4703	2.0	-0.181407	-0.177876	0.003530
132	54.3593	38.1936	57.8331	2.0	-0.181561	-0.183547	-0.001986
133	55.4849	29.5546	59.7344	3.0	-0.129765	-0.130971	-0.001207
134	63.3046	37.2857	56.8917	2.0	-0.177038	-0.180580	-0.003543
135	51.8795	35.8089	59.3587	4.0	-0.127878	-0.129314	-0.001436
136	57.0992	42.0282	55.6827	4.0	-0.135788	-0.136995	-0.001207
137	54.8430	37.8252	54.9330	2.0	-0.190833	-0.193319	-0.002486
138	62.5061	41.0186	56.5108	4.0	-0.136073	-0.137486	-0.001413
139	66.4498	30.0527	51.5060	4.0	-0.133914	-0.130441	0.003473
140	54.9253	36.5138	53.9156	2.0	-0.187742	-0.190148	-0.002406
141	59.6472	27.1130	56.8594	3.0	-0.148205	-0.146619	0.001586
142	58.3828	37.8049	60.0853	2.0	-0.196030	-0.198460	-0.002430
143	61.7553	26.7516	51.2771	4.0	-0.134547	-0.130208	0.004339
144	65.1472	28.4148	58.5924	4.0	-0.131556	-0.130952	0.000604
145	55.7752	32.6386	59.9077	2.0	-0.172502	-0.176766	-0.004265
146	52.5822	29.1335	51.6712	4.0	-0.108723	-0.108144	0.000580
147	57.4075	33.5569	62.8088	4.0	-0.136559	-0.139181	-0.002622
148	66.6569	32.1366	57.9480	4.0	-0.138510	-0.139068	-0.000558
149	60.6998	32.2656	60.2822	2.0	-0.178963	-0.184034	-0.005071
150	56.1998	32.2656	62.3965	4.0	-0.130940	-0.133310	-0.002370
151	54.3964	33.7182	49.1711	4.0	-0.122594	-0.122280	0.000314
152	66.4465	34.3361	53.9422	4.0	-0.149040	-0.148838	0.000202
153	62.0904	28.5472	60.1357	4.0	-0.136972	-0.137792	-0.000820
154	57.3791	35.1899	61.5655	3.0	-0.166318	-0.169755	-0.003437
155	65.1022	32.0064	49.0026	4.0	-0.129765	-0.126830	0.002935
156	58.1234	32.8738	49.2260	3.0	-0.152325	-0.150517	0.001808
157	61.8618	31.3565	60.7417	3.0	-0.155234	-0.158444	-0.003210
158	61.2881	26.6229	58.0758	4.0	-0.134093	-0.133047	0.001045
159	52.0188	34.5908	54.7518	3.0	-0.135546	-0.136253	-0.000707
160	67.2346	32.4788	55.5569	4.0	-0.140720	-0.140172	0.000548
161	64.2495	32.3515	57.7544	2.0	-0.192895	-0.196315	-0.003419
162	57.1240	39.0500	61.5643	4.0	-0.140785	-0.142475	-0.001691
163	51.7891	37.9401	57.5386	4.0	-0.128344	-0.129616	-0.001271
164	59.5205	39.9874	59.8847	3.0	-0.155792	-0.157275	-0.001483
165	54.8358	40.9581	56.3574	4.0	-0.138987	-0.140293	-0.001305
166	66.7932	33.4736	56.6199	4.0	-0.143444	-0.144010	-0.000567
167	54.8823	34.2427	51.4245	2.0	-0.157972	-0.158143	-0.000171
168	61.1128	40.3565	60.3109	4.0	-0.134983	-0.136487	-0.001504
169	62.1228	32.6448	49.8299	2.0	-0.179827	-0.174661	0.005166
170	62.1226	35.7376	54.1484	2.0	-0.220953	-0.223433	-0.002480
171	63.9266	35.7858	57.2875	2.0	-0.178110	-0.181986	-0.003876
172	53.4963	30.1440	56.6842	2.0	-0.123634	-0.122955	0.000679
173	53.7428	37.3692	61.3206	4.0	-0.130352	-0.132023	-0.001672
174	63.9140	30.5901	59.3007	3.0	-0.158211	-0.159901	-0.001690
175	57.0445	41.2115	59.5802	4.0	-0.136692	-0.137933	-0.001241
176	65.3596	31.3415	59.6153	4.0	-0.138619	-0.139861	-0.001242
177	54.5217	37.9997	50.7150	4.0	-0.125348	-0.126078	-0.000731
178	63.5628	35.0814	60.3736	3.0	-0.151118	-0.154164	-0.003046
179	55.5501	40.9103	58.8748	4.0	-0.138390	-0.139677	-0.001288
180	66.2775	30.7079	55.3195	3.0	-0.158368	-0.156100	0.002269
181	57.3564	29.2551	53.5851	2.0	-0.180144	-0.177568	0.002577
182	60.8850	29.8056	50.4827	2.0	-0.180868	-0.172599	0.008269
183	52.2673	32.3371	55.6298	2.0	-0.126994	-0.126304	0.000690
184	57.9372	37.5310	52.1833	2.0	-0.177071	-0.179247	-0.002176
185	55.2335	36.2333	61.2250	3.0	-0.154816	-0.157329	-0.002513
186	56.0538	27.4508	52.0147	4.0	-0.126115	-0.124453	0.001661
187	64.6717	36.4267	52.7161	4.0	-0.153110	-0.153714	-0.000604
188	64.3726	33.8061	52.3452	2.0	-0.191674	-0.190317	0.001357
189	65.4892	30.4639	57.8349	3.0	-0.154558	-0.154428	0.000131
190	54.5921	28.4126	50.9261	4.0	-0.117582	-0.116463	0.001119
191	62.2627	37.2827	61.6634	4.0	-0.137069	-0.139241	-0.002172
192	58.5689	39.8216	52.0027	4.0	-0.145097	-0.146480	-0.001383
193	55.4583	32.6211	48.8966	4.0	-0.127659	-0.126829	0.000830
194	53.9492	39.0707	55.7683	3.0	-0.156059	-0.157705	-0.001646
195	63.0323	28.7315	57.2824	2.0	-0.180579	-0.178212	0.002367
196	52.7610	30.3767	55.1971	2.0	-0.120329	-0.119164	0.001164
197	52.3782	31.4551	59.2641	4.0	-0.117678	-0.118547	-0.000869
198	57.7231	40.2161	56.4578	2.0	-0.189152	-0.190644	-0.001492
199	62.4379	30.2686	58.6486	2.0	-0.187781	-0.190392	-0.002610
