# from /home/18660916/system_development/05_qmmm/19_ensemble/frame_07310/neb.out
# the barrier is the dE(kcal/mol) of the row marked '<= CI'

---------------------------------------------------------------
                         PATH SUMMARY              
---------------------------------------------------------------
All forces in Eh/Bohr.

Image Dist.(Ang.)    E(Eh)   dE(kcal/mol)  max(|Fp|)  RMS(Fp)
  0     0.000   -1075.16633      0.00       0.06798   0.00905
  1     0.787   -1075.16901     -1.68       0.06803   0.00905
  2     1.555   -1075.17118     -3.04       0.06803   0.00905
  3     2.424   -1075.17336     -4.41       0.06802   0.00905
  4     3.884   -1075.16728     -0.59       0.06798   0.00905
  5     4.205   -1075.15330      8.18       0.06800   0.00905
  6     4.486   -1075.14780     11.63       0.06803   0.00905 <= CI
  7     4.778   -1075.15317      8.26       0.06806   0.00905
  8     5.122   -1075.17305     -4.22       0.06808   0.00905
  9     6.843   -1075.19748    -19.55       0.06803   0.00905

