#     Step;   Iter;    t_Ener;    t_Grad;       Temp;             E_Pot;        Delta E;      RMS(Grad);      Max(Grad);    Max(Step)
         1;     14;    609.17;    135.08;           ;    -1073.95766238;               ;               ;               ;             
         2;      8;    462.24;    140.31;           ;    -1073.99980711;    -0.04214473;       118.9322;       573.8271;     0.002274
         3;     13;    582.43;    139.21;           ;    -1074.89760220;    -0.89779509;        47.6034;       242.3904;     0.077718
         4;      9;    484.90;    137.61;           ;    -1074.90820015;    -0.01059795;        55.2064;       224.7498;     0.009447
         5;     11;    543.52;    130.40;           ;    -1075.08779300;    -0.17959284;        43.1583;       292.0458;     0.042796
         6;     12;    557.50;    131.72;           ;    -1075.25467935;    -0.16688635;        54.6898;      1183.1728;     0.103429
         7;     12;    552.66;    133.26;           ;    -1075.45178792;    -0.19710857;        38.5057;       555.5205;     0.126948
         8;     11;    501.14;    110.86;           ;    -1075.45743354;    -0.00564562;        42.8909;       634.3728;     0.029429
         9;     13;    457.79;     85.55;           ;    -1075.57169512;    -0.11426158;        34.8434;       911.7136;     0.059205
        10;     11;    182.51;     57.93;           ;    -1075.58799541;    -0.01630029;        52.2135;      1537.7463;     0.036241
        11;     10;    110.63;     46.17;           ;    -1075.66594328;    -0.07794787;        32.1333;       683.7525;     0.118135
        12;     11;     70.97;     46.03;           ;    -1075.70390733;    -0.03796406;        20.8872;       303.7617;     0.031217
        13;     11;     65.44;     46.50;           ;    -1075.71731728;    -0.01340994;        27.1060;       512.2585;     0.035294
        14;     10;     59.32;     42.39;           ;    -1075.75970210;    -0.04238482;        20.8112;       316.2207;     0.017191
        15;     11;     59.34;     40.62;           ;    -1075.80051621;    -0.04081411;        24.1049;       350.7459;     0.040912
        16;     11;     60.82;     40.70;           ;    -1075.85126286;    -0.05074665;        18.5764;       185.3710;     0.042420
        17;     11;     56.37;     43.80;           ;    -1075.85532301;    -0.00406015;        24.3566;       286.9352;     0.016377
        18;     11;     55.32;     39.78;           ;    -1075.89601959;    -0.04069658;        16.6701;       173.0374;     0.026164
        19;     11;     58.88;     40.72;           ;    -1075.90683081;    -0.01081122;        21.9788;       229.3965;     0.022253
        20;     11;     56.42;     37.91;           ;    -1075.94540403;    -0.03857323;        15.8910;       118.1065;     0.026099
        21;     11;     53.52;     37.67;           ;    -1075.95871346;    -0.01330942;        23.3254;       302.5964;     0.026875
        22;     11;     54.67;     39.05;           ;    -1075.99564355;    -0.03693009;        15.0242;       129.5237;     0.025940
        23;     11;     51.57;     35.93;           ;    -1076.00208601;    -0.00644246;        19.3618;       225.1860;     0.016429
        24;     11;     56.85;     38.14;           ;    -1076.02921270;    -0.02712669;        13.9639;        99.7674;     0.021764
        25;     11;     56.20;     39.40;           ;    -1076.03890592;    -0.00969322;        21.2333;       361.7506;     0.023201
        26;     11;     57.60;     36.03;           ;    -1076.06706905;    -0.02816313;        13.3503;        96.0885;     0.024780
        27;     11;     54.89;     39.94;           ;    -1076.07576402;    -0.00869497;        17.2230;       176.6993;     0.023771
        28;     10;     55.54;     40.18;           ;    -1076.09744231;    -0.02167829;        12.7167;       117.7716;     0.013958
        29;     10;     54.15;     36.65;           ;    -1076.10558406;    -0.00814174;        17.7989;       138.7744;     0.015366
        30;     10;     53.02;     40.71;           ;    -1076.12791154;    -0.02232748;        13.5695;        85.8700;     0.031998
        31;      9;     52.94;     38.39;           ;    -1076.12917064;    -0.00125910;        16.5502;       115.3000;     0.009955
        32;     11;     54.18;     37.20;           ;    -1076.14774056;    -0.01856992;        12.1509;        78.8165;     0.012117
        33;     10;     55.54;     38.23;           ;    -1076.15202121;    -0.00428065;        15.5892;       137.1169;     0.009281
        34;     11;     54.12;     36.39;           ;    -1076.16964063;    -0.01761942;        11.4912;        99.8418;     0.030908
        35;      9;     51.27;     32.89;           ;    -1076.17043356;    -0.00079293;        13.7500;       139.3727;     0.008276
        36;      9;     51.92;     35.45;           ;    -1076.18392877;    -0.01349521;        10.0174;        76.0282;     0.013756
        37;      8;     48.82;     34.71;           ;    -1076.18987832;    -0.00594955;        14.4621;       163.8624;     0.017112
        38;     10;     53.82;     36.00;           ;    -1076.20469763;    -0.01481931;        10.4887;        63.1853;     0.023746
        39;      9;     61.64;     40.42;           ;    -1076.20813214;    -0.00343451;        14.6920;       204.0410;     0.018387
        40;      9;     60.05;     35.61;           ;    -1076.22226036;    -0.01412822;         9.7002;        56.4136;     0.014580
        41;     10;     56.48;     35.14;           ;    -1076.22654844;    -0.00428808;        12.6702;       102.5550;     0.013618
        42;      9;     54.71;     38.91;           ;    -1076.23835713;    -0.01180869;         8.9882;        48.8972;     0.018642
        43;      9;     53.21;     36.36;           ;    -1076.24185556;    -0.00349844;        12.6426;        94.3404;     0.017156
        44;     10;     56.02;     36.54;           ;    -1076.25328964;    -0.01143408;         8.7269;        59.3886;     0.014640
        45;     10;     55.76;     36.21;           ;    -1076.25707106;    -0.00378142;        12.0264;        94.0173;     0.014530
        46;     11;     57.35;     35.82;           ;    -1076.26790740;    -0.01083634;         8.4694;        40.8467;     0.020091
        47;     11;     56.73;     37.92;           ;    -1076.27126299;    -0.00335559;        11.7581;       106.6285;     0.019156
        48;     10;     54.67;     36.82;           ;    -1076.28156328;    -0.01030029;         8.2197;        46.3816;     0.014048
        49;      9;     53.26;     35.63;           ;    -1076.28397538;    -0.00241210;        10.9692;        74.6811;     0.010835
        50;      8;     48.24;     35.29;           ;    -1076.29272663;    -0.00875125;         8.8507;        70.3125;     0.032856
        51;      9;     52.89;     35.08;           ;    -1076.29323436;    -0.00050773;        10.6982;        90.1471;     0.010444
        52;     10;     55.83;     37.13;           ;    -1076.30161149;    -0.00837712;         8.1394;        46.4896;     0.012902
        53;      9;     55.34;     36.89;           ;    -1076.30273162;    -0.00112014;        10.3310;        69.8544;     0.006792
        54;     10;     54.87;     36.72;           ;    -1076.31106342;    -0.00833180;         7.6296;        41.9058;     0.026157
        55;      9;     54.68;     37.28;           ;    -1076.31258925;    -0.00152583;        10.4082;        68.8869;     0.017294
        56;     10;     57.36;     35.98;           ;    -1076.32032497;    -0.00773573;         7.2053;        44.0759;     0.016083
        57;      9;     55.05;     35.53;           ;    -1076.32240019;    -0.00207521;         9.9195;        86.3735;     0.013757
        58;     10;     56.57;     34.29;           ;    -1076.32938258;    -0.00698240;         6.9767;        48.5893;     0.020487
        59;      9;     54.97;     36.30;           ;    -1076.33127090;    -0.00188832;         9.7331;        92.1080;     0.017686
