#     Step;   Iter;    t_Ener;    t_Grad;       Temp;             E_Pot;        Delta E;      RMS(Grad);      Max(Grad);    Max(Step)
         1;     12;     96.67;     44.39;           ;    -1073.64186444;               ;               ;               ;             
         2;      7;     69.67;     47.28;           ;    -1073.68134359;    -0.03947916;       115.1929;       559.8008;     0.002233
         3;     13;     90.64;     48.84;           ;    -1074.55703484;    -0.87569125;        46.3102;       172.6145;     0.064871
         4;     10;     84.11;     43.95;           ;    -1074.56744998;    -0.01041514;        53.7753;       188.5706;     0.007923
         5;     11;     88.73;     55.03;           ;    -1074.74235451;    -0.17490453;        41.5498;       276.8888;     0.037838
         6;     11;     92.09;     46.77;           ;    -1074.89965231;    -0.15729780;        53.0019;      1003.0290;     0.086994
         7;     12;     92.69;     49.53;           ;    -1075.08026343;    -0.18061113;        38.5371;       493.8538;     0.122188
         8;     11;     84.44;     47.86;           ;    -1075.08314779;    -0.00288436;        41.9511;       555.7633;     0.019447
         9;     13;    103.33;     42.84;           ;    -1075.19316018;    -0.11001239;        31.4863;       672.2596;     0.051476
        10;     11;     85.62;     49.90;           ;    -1075.21941586;    -0.02625568;        46.2883;      1284.9491;     0.044213
        11;     10;     85.59;     47.92;           ;    -1075.28899324;    -0.06957737;        32.2437;       733.8978;     0.106957
        12;     11;     82.89;     42.50;           ;    -1075.32712110;    -0.03812786;        21.0449;       310.4088;     0.033195
        13;     13;     85.93;     43.74;           ;    -1075.34471273;    -0.01759163;        27.7811;       442.8012;     0.048114
        14;     11;     78.99;     47.07;           ;    -1075.39116077;    -0.04644804;        20.8279;       335.1434;     0.020935
        15;     11;     81.31;     43.72;           ;    -1075.43078318;    -0.03962241;        24.9053;       359.0911;     0.044780
        16;     11;     74.95;     44.88;           ;    -1075.47489444;    -0.04411125;        20.7716;       325.4836;     0.034089
        17;     10;     72.73;     43.11;           ;    -1075.47689625;    -0.00200182;        25.4228;       394.7290;     0.009030
        18;     12;     69.25;     45.46;           ;    -1075.51439877;    -0.03750251;        17.2161;       174.4222;     0.027379
        19;     11;     74.08;     42.38;           ;    -1075.52931946;    -0.01492069;        21.3162;       243.9026;     0.031902
        20;     11;     66.91;     44.00;           ;    -1075.56671172;    -0.03739226;        16.0224;       164.2501;     0.025823
        21;     11;     66.35;     41.93;           ;    -1075.58327311;    -0.01656139;        23.5920;       500.8775;     0.032735
        22;     11;     60.92;     40.21;           ;    -1075.62128333;    -0.03801022;        15.2811;       130.1851;     0.043637
        23;     11;     62.89;     42.57;           ;    -1075.62564793;    -0.00436460;        19.0212;       205.7386;     0.020764
