# from /home/18660916/system_development/05_qmmm/19_ensemble/frame_11630/neb.out
# the barrier is the dE(kcal/mol) of the row marked '<= CI'

---------------------------------------------------------------
                         PATH SUMMARY              
---------------------------------------------------------------
All forces in Eh/Bohr.

Image Dist.(Ang.)    E(Eh)   dE(kcal/mol)  max(|Fp|)  RMS(Fp)
  0     0.000   -1076.05835      0.00       0.07992   0.00904
  1     1.608   -1076.06022     -1.17       0.07994   0.00905
  2     2.221   -1076.05227      3.81       0.07995   0.00905
  3     2.504   -1076.04015     11.42       0.07994   0.00905
  4     2.789   -1076.03774     12.93       0.07993   0.00905 <= CI
  5     3.018   -1076.04088     10.96       0.07994   0.00905
  6     3.249   -1076.04927      5.70       0.07994   0.00905
  7     3.562   -1076.06678     -5.29       0.07994   0.00905
  8     4.411   -1076.07769    -12.14       0.07996   0.00905
  9     5.579   -1076.08116    -14.31       0.08000   0.00905

