#     Step;   Iter;    t_Ener;    t_Grad;       Temp;             E_Pot;        Delta E;      RMS(Grad);      Max(Grad);    Max(Step)
         1;     12;     96.99;     44.80;           ;    -1072.98613292;               ;               ;               ;             
         2;      7;     74.32;     45.06;           ;    -1073.02678880;    -0.04065588;       116.8867;       517.8880;     0.002066
         3;     13;    101.62;     42.02;           ;    -1073.92286631;    -0.89607752;        46.2424;       149.9204;     0.081528
         4;     10;     84.75;     42.06;           ;    -1073.93463116;    -0.01176485;        54.2375;       222.2292;     0.010515
         5;     11;     89.20;     43.14;           ;    -1074.11229602;    -0.17766486;        42.2559;       158.5297;     0.021624
         6;     12;     91.55;     44.86;           ;    -1074.33225978;    -0.21996376;        47.7060;       484.6743;     0.062786
         7;     12;     88.74;     46.15;           ;    -1074.50704352;    -0.17478375;        45.1619;       629.0170;     0.077219
         8;     11;     82.15;     42.96;           ;    -1074.62219969;    -0.11515616;        26.6927;       277.4179;     0.036572
         9;     11;     81.52;     43.99;           ;    -1074.66175790;    -0.03955822;        30.6183;       400.8085;     0.037474
        10;     11;     85.16;     45.38;           ;    -1074.72636825;    -0.06461035;        22.4602;       163.6163;     0.034676
        11;     11;     85.38;     43.02;           ;    -1074.73941105;    -0.01304280;        31.3730;       426.2132;     0.024120
        12;     11;     86.32;     46.79;           ;    -1074.79802686;    -0.05861581;        19.9639;       147.8208;     0.023853
        13;     11;     91.68;     45.29;           ;    -1074.81528900;    -0.01726213;        25.5719;       318.2855;     0.021871
        14;     11;     92.46;     43.54;           ;    -1074.85998766;    -0.04469866;        17.1767;        84.3176;     0.027270
        15;     11;     85.97;     48.04;           ;    -1074.87464608;    -0.01465842;        22.6893;       265.8012;     0.027068
        16;     11;     88.71;     45.15;           ;    -1074.91442132;    -0.03977524;        16.5437;        72.4714;     0.021519
        17;     11;     79.86;     43.84;           ;    -1074.92852103;    -0.01409971;        23.9348;       190.9182;     0.022639
        18;     11;     84.98;     45.25;           ;    -1074.97067677;    -0.04215574;        16.2071;       126.0647;     0.027280
        19;     11;     83.55;     45.37;           ;    -1074.98596190;    -0.01528513;        22.0855;       186.0937;     0.029126
        20;     11;     87.41;     43.40;           ;    -1075.02272707;    -0.03676517;        14.8791;        70.8848;     0.031044
        21;     11;     81.18;     43.42;           ;    -1075.03000455;    -0.00727748;        20.2638;       237.6073;     0.021463
        22;     11;     88.56;     42.98;           ;    -1075.06007638;    -0.03007183;        13.9452;        80.0648;     0.026505
        23;     11;     85.91;     42.56;           ;    -1075.07172256;    -0.01164619;        19.3914;       164.9163;     0.029810
        24;     10;     94.98;     41.85;           ;    -1075.10032844;    -0.02860587;        13.8774;       104.1935;     0.024853
        25;      9;     81.48;     46.15;           ;    -1075.10752521;    -0.00719677;        19.5343;       272.7968;     0.020318
        26;     10;     86.79;     43.77;           ;    -1075.13277346;    -0.02524825;        13.2460;        52.8577;     0.030760
        27;     11;     92.40;     47.24;           ;    -1075.13669709;    -0.00392363;        17.4778;       234.4489;     0.018141
        28;      8;     79.47;     45.66;           ;    -1075.15680926;    -0.02011217;        12.9923;        82.8079;     0.015714
        29;      9;     75.55;     45.10;           ;    -1075.16202901;    -0.00521975;        17.2986;       109.7205;     0.013130
        30;     10;     90.49;     47.35;           ;    -1075.18283850;    -0.02080949;        14.8192;       155.3277;     0.047141
        31;      5;     63.14;     43.68;           ;    -1075.18306249;    -0.00022399;        16.0925;       168.8193;     0.005785
        32;     10;     86.83;     47.70;           ;    -1075.20127042;    -0.01820793;        11.9745;        89.1705;     0.017041
        33;      7;     75.16;     47.48;           ;    -1075.20243482;    -0.00116440;        14.5553;       171.8011;     0.005547
        34;     10;     86.00;     43.41;           ;    -1075.21699305;    -0.01455823;        10.0846;        37.2468;     0.022727
        35;     10;     80.85;     42.81;           ;    -1075.22063458;    -0.00364153;        13.7182;       115.1567;     0.018669
        36;      9;     79.78;     46.62;           ;    -1075.23431273;    -0.01367815;         9.6853;        52.2292;     0.016147
        37;      9;     83.59;     42.37;           ;    -1075.24002887;    -0.00571614;        13.5070;        94.3538;     0.019278
        38;     10;     80.24;     47.03;           ;    -1075.25406403;    -0.01403516;         9.5015;        42.7546;     0.026550
        39;     10;     79.81;     43.22;           ;    -1075.25747036;    -0.00340633;        13.2336;        90.4021;     0.021265
        40;     10;     81.31;     43.16;           ;    -1075.27025704;    -0.01278668;         8.9349;        32.0337;     0.020027
        41;     10;     89.85;     45.39;           ;    -1075.27412832;    -0.00387128;        11.9640;        60.0626;     0.018667
        42;      7;     69.95;     43.34;           ;    -1075.28539317;    -0.01126485;         9.0733;        39.1142;     0.029933
        43;      7;     77.83;     43.95;           ;    -1075.28796472;    -0.00257154;        12.6917;        90.1406;     0.023365
        44;     10;     86.14;     42.21;           ;    -1075.29939454;    -0.01142982;         9.6582;        45.4634;     0.020403
        45;      9;     83.99;     43.52;           ;    -1075.30025909;    -0.00086455;        11.6350;        72.0152;     0.007390
        46;     10;     86.81;     44.63;           ;    -1075.31128998;    -0.01103089;         8.6185;        52.0108;     0.040495
        47;      9;     84.91;     48.42;           ;    -1075.31292932;    -0.00163934;        11.2285;        79.9575;     0.023970
        48;      9;     84.94;     47.53;           ;    -1075.32274295;    -0.00981364;         8.1397;        58.0884;     0.019099
        49;     10;     84.60;     44.73;           ;    -1075.32388780;    -0.00114485;        10.5423;       111.0347;     0.009128
        50;      8;     74.44;     45.32;           ;    -1075.33215408;    -0.00826628;         7.5355;        33.1528;     0.028356
        51;      8;     74.19;     46.66;           ;    -1075.33426385;    -0.00210977;        10.6251;       124.9213;     0.023663
        52;     10;     77.72;     46.26;           ;    -1075.34216620;    -0.00790235;         7.4172;        39.4508;     0.016516
        53;     10;     82.57;     45.85;           ;    -1075.34455214;    -0.00238594;        10.2640;       117.2746;     0.015401
        54;     11;     85.24;     44.08;           ;    -1075.35234966;    -0.00779752;         7.2420;        36.0355;     0.027451
        55;     11;     81.25;     46.79;           ;    -1075.35508031;    -0.00273065;        10.2499;       102.9479;     0.028914
        56;     10;     81.76;     42.12;           ;    -1075.36273118;    -0.00765087;         7.1931;        35.5919;     0.020123
        57;     10;     83.67;     45.77;           ;    -1075.36468316;    -0.00195199;        10.0002;       113.0350;     0.016581
        58;      9;     78.22;     41.82;           ;    -1075.37181581;    -0.00713265;         6.9779;        27.5383;     0.031296
        59;     10;     84.89;     49.07;           ;    -1075.37363141;    -0.00181560;         9.3744;        92.7650;     0.026387
        60;     10;     86.11;     43.33;           ;    -1075.38016804;    -0.00653662;         7.2909;        57.5680;     0.013837
        61;      9;     78.48;     46.71;           ;    -1075.38104123;    -0.00087319;         9.2276;        84.7575;     0.007249
        62;     10;     78.00;     44.27;           ;    -1075.38721205;    -0.00617082;         8.1183;        56.0372;     0.051829
        63;      7;     71.23;     43.50;           ;    -1075.39279746;    -0.00558541;         6.1816;        31.6851;     0.017823
        64;      7;     72.17;     42.94;           ;    -1075.39438881;    -0.00159135;         8.2987;        60.9062;     0.015863
        65;     10;     82.01;     46.19;           ;    -1075.40007546;    -0.00568665;         6.2029;        38.7303;     0.025146
        66;      9;     77.22;     45.83;           ;    -1075.40095161;    -0.00087615;         8.3475;        72.4853;     0.014617
        67;     10;     88.99;     42.07;           ;    -1075.40596673;    -0.00501511;         5.6807;        30.2100;     0.014367
        68;     10;     88.76;     46.10;           ;    -1075.40728061;    -0.00131388;         7.6600;        60.8812;     0.012109
        69;      9;     86.32;     45.95;           ;    -1075.41198013;    -0.00469953;         5.7010;        30.6925;     0.028985
        70;      9;     84.81;     49.40;           ;    -1075.41327443;    -0.00129430;         8.1142;       102.0974;     0.026474
        71;      7;     73.82;     42.40;           ;    -1075.41798015;    -0.00470571;         5.9073;        41.8067;     0.017367
        72;      7;     73.72;     47.20;           ;    -1075.41863559;    -0.00065544;         7.6045;        99.4827;     0.009377
        73;      7;     81.21;     45.56;           ;    -1075.42269464;    -0.00405905;         6.4174;        69.0540;     0.041545
        74;      7;     67.83;     47.91;           ;    -1075.42280572;    -0.00011108;         7.3805;       107.1703;     0.008733
        75;      8;     74.64;     45.42;           ;    -1075.42659004;    -0.00378432;         5.2456;        26.6205;     0.013148
        76;      8;     60.91;     48.33;           ;    -1075.42726420;    -0.00067416;         6.7003;        35.1271;     0.008376
        77;      7;     53.45;     41.81;           ;    -1075.43084178;    -0.00357758;         5.0821;        24.9456;     0.034587
        78;      7;     56.94;     45.15;           ;    -1075.43150332;    -0.00066155;         6.9828;        68.4406;     0.023886
        79;      7;     48.86;     45.51;           ;    -1075.43497571;    -0.00347239;         4.9304;        26.6774;     0.013025
        80;      7;     53.59;     42.88;           ;    -1075.43570180;    -0.00072609;         6.5099;        41.7428;     0.009278
        81;      9;     55.98;     39.49;           ;    -1075.43910362;    -0.00340181;         4.6777;        21.0814;     0.030193
        82;      9;     50.74;     35.33;           ;    -1075.44003680;    -0.00093319;         6.5685;        41.2706;     0.026832
        83;      9;     41.60;     27.14;           ;    -1075.44322221;    -0.00318541;         4.6535;        21.3265;     0.020643
        84;      9;     39.30;     26.39;           ;    -1075.44390958;    -0.00068737;         6.3786;        34.0111;     0.015113
        85;      8;     37.44;     25.14;           ;    -1075.44678021;    -0.00287063;         4.4500;        15.9609;     0.022603
        86;      8;     36.15;     24.35;           ;    -1075.44760648;    -0.00082627;         6.1495;        35.5839;     0.020373
        87;      9;     37.57;     24.02;           ;    -1075.45022226;    -0.00261578;         4.3111;        18.5558;     0.018263
        88;      7;     33.73;     25.01;           ;    -1075.45077052;    -0.00054826;         5.7884;        39.8016;     0.013055
        89;      8;     37.10;     24.47;           ;    -1075.45300066;    -0.00223013;         4.8261;        74.6378;     0.036205
        90;      8;     36.02;     24.22;           ;    -1075.45320453;    -0.00020387;         5.9865;       123.6406;     0.015849
        91;      9;     39.65;     24.59;           ;    -1075.45486745;    -0.00166292;         7.1933;       121.0184;     0.022812
        92;      7;     33.67;     24.34;           ;    -1075.45514651;    -0.00027906;         5.5512;        54.7205;     0.006293
        93;      9;     38.74;     24.56;           ;    -1075.45752630;    -0.00237979;         4.1103;        18.9794;     0.029996
        94;      7;     33.54;     24.63;           ;    -1075.45792172;    -0.00039542;         5.6137;        53.6442;     0.018871
        95;      8;     34.25;     24.09;           ;    -1075.46013196;    -0.00221024;         4.0347;        22.0043;     0.017197
        96;      8;     35.34;     24.73;           ;    -1075.46082015;    -0.00068819;         5.6485;        35.2989;     0.016452
        97;      7;     33.78;     25.09;           ;    -1075.46311650;    -0.00229635;         3.8772;        16.2380;     0.018278
        98;      7;     34.02;     25.43;           ;    -1075.46393990;    -0.00082340;         5.2709;        25.5639;     0.019375
        99;      9;     37.19;     25.19;           ;    -1075.46613935;    -0.00219945;         3.8424;        18.7393;     0.019844
       100;      7;     33.46;     24.47;           ;    -1075.46683361;    -0.00069426;         5.5663;        38.2064;     0.019094
       101;      7;     34.58;     24.83;           ;    -1075.46903637;    -0.00220276;         3.8736;        17.7215;     0.017889
       102;      7;     35.19;     25.36;           ;    -1075.46964968;    -0.00061331;         5.2927;        51.6664;     0.015665
       103;      7;     33.28;     25.55;           ;    -1075.47168826;    -0.00203857;         3.6499;        15.1187;     0.014806
       104;      7;     33.67;     25.74;           ;    -1075.47226533;    -0.00057707;         5.0310;        50.3714;     0.013090
       105;      5;     29.46;     25.24;           ;    -1075.47406032;    -0.00179499;         3.7421;        44.7170;     0.025660
       106;      3;     27.59;     25.50;           ;    -1075.47439172;    -0.00033140;         5.0414;        73.8118;     0.017187
       107;      7;     38.09;     24.57;           ;    -1075.47576040;    -0.00136868;         4.3760;        77.1504;     0.019017
       108;      8;     36.86;     24.84;           ;    -1075.47749442;    -0.00173402;         4.4903;        42.9459;     0.044657
       109;      8;     37.01;     24.61;           ;    -1075.47909693;    -0.00160251;         3.4056;        22.6885;     0.016769
       110;      8;     36.79;     24.12;           ;    -1075.47958667;    -0.00048974;         4.7708;        63.6362;     0.015878
       111;      7;     36.33;     25.23;           ;    -1075.48125905;    -0.00167238;         3.3645;        15.6067;     0.020552
       112;      7;     33.07;     25.01;           ;    -1075.48156779;    -0.00030873;         4.6254;        66.9651;     0.013447
       113;      7;     33.42;     25.12;           ;    -1075.48301891;    -0.00145112;         3.2111;        11.7726;     0.012569
       114;      7;     33.00;     24.30;           ;    -1075.48355361;    -0.00053471;         4.4156;        52.0150;     0.013640
       115;      7;     32.97;     24.55;           ;    -1075.48501639;    -0.00146277;         3.1811;        12.0893;     0.022408
       116;      7;     38.01;     24.61;           ;    -1075.48551923;    -0.00050285;         4.5759;        35.5232;     0.023265
       117;      7;     34.12;     24.49;           ;    -1075.48701498;    -0.00149575;         3.1646;        13.5942;     0.013836
       118;      7;     33.83;     25.31;           ;    -1075.48737527;    -0.00036030;         4.3083;        31.6717;     0.010885
       119;      7;     34.23;     24.66;           ;    -1075.48873235;    -0.00135707;         3.2182;        13.8471;     0.028552
       120;      7;     34.78;     25.61;           ;    -1075.48905618;    -0.00032383;         4.4278;        53.5246;     0.023310
       121;      5;     30.19;     24.30;           ;    -1075.49046659;    -0.00141041;         3.7634;        47.6190;     0.018217
       122;      5;     29.28;     24.51;           ;    -1075.49054899;    -0.00008239;         4.4597;        78.2574;     0.005604
       123;      7;     32.76;     24.46;           ;    -1075.49201662;    -0.00146763;         3.5393;        17.3778;     0.038554
       124;      5;     29.20;     24.57;           ;    -1075.49209823;    -0.00008161;         4.2950;        33.3558;     0.012038
       125;      7;     34.21;     24.35;           ;    -1075.49342946;    -0.00133122;         3.0477;        10.9498;     0.014063
       126;      7;     32.56;     24.30;           ;    -1075.49383360;    -0.00040415;         4.2117;        31.8385;     0.013158
       127;      7;     33.58;     24.42;           ;    -1075.49517145;    -0.00133785;         2.9632;        11.1254;     0.024434
       128;      7;     32.50;     24.50;           ;    -1075.49560014;    -0.00042869;         4.1614;        33.9727;     0.023902
       129;      7;     32.43;     24.21;           ;    -1075.49688796;    -0.00128782;         2.9621;        10.9938;     0.016742
       130;      7;     36.90;     24.65;           ;    -1075.49726738;    -0.00037941;         4.1826;        36.4062;     0.015319
       131;      8;     35.17;     24.68;           ;    -1075.49854132;    -0.00127394;         2.9707;        12.0533;     0.024757
       132;      8;     34.75;     24.37;           ;    -1075.49894122;    -0.00039990;         4.2180;        31.6420;     0.023900
       133;      7;     33.33;     23.83;           ;    -1075.50019209;    -0.00125087;         2.9002;        10.8676;     0.017286
       134;      7;     34.83;     24.90;           ;    -1075.50056340;    -0.00037131;         3.9719;        26.0794;     0.015952
       135;      7;     35.81;     24.16;           ;    -1075.50171996;    -0.00115656;         2.9789;        15.1005;     0.034548
       136;      7;     34.45;     23.97;           ;    -1075.50195757;    -0.00023760;         4.0575;        44.3271;     0.025121
       137;      7;     33.68;     24.29;           ;    -1075.50308276;    -0.00112519;         3.1772;        26.0440;     0.012163
       138;      6;     31.58;     23.96;           ;    -1075.50317011;    -0.00008735;         3.8230;        43.5373;     0.004498
       139;      7;     34.44;     24.71;           ;    -1075.50432660;    -0.00115649;         3.0567;        16.7122;     0.046281
       140;      7;     34.22;     23.99;           ;    -1075.50441666;    -0.00009006;         3.8166;        26.3039;     0.017939
       141;      7;     32.79;     24.47;           ;    -1075.50551087;    -0.00109421;         2.7291;        11.6026;     0.013618
       142;      7;     32.86;     22.42;           ;    -1075.50576948;    -0.00025861;         3.7569;        34.1101;     0.010547
       143;      7;     31.29;     22.63;           ;    -1075.50681181;    -0.00104233;         2.6974;        13.0263;     0.026859
       144;      7;     31.67;     22.47;           ;    -1075.50710990;    -0.00029809;         3.7922;        39.1269;     0.024238
       145;      7;     30.73;     22.83;           ;    -1075.50811747;    -0.00100757;         2.6873;        12.3668;     0.012403
       146;      5;     27.26;     22.72;           ;    -1075.50834336;    -0.00022588;         3.6598;        37.1589;     0.009239
       147;      7;     32.93;     22.60;           ;    -1075.50928841;    -0.00094506;         2.6663;        11.9487;     0.026188
       148;      7;     31.34;     22.86;           ;    -1075.50953760;    -0.00024918;         3.6415;        29.8104;     0.022448
       149;      7;     31.88;     22.54;           ;    -1075.51050697;    -0.00096938;         2.7191;        15.1392;     0.006839
       150;      7;     30.38;     22.94;           ;    -1075.51069185;    -0.00018488;         3.6298;        36.1404;     0.004572
       151;      7;     31.66;     24.42;           ;    -1075.51167880;    -0.00098695;         2.6850;        11.2753;     0.029750
       152;      5;     28.30;     24.19;           ;    -1075.51187462;    -0.00019581;         3.6249;        31.3777;     0.020973
       153;      7;     32.16;     24.99;           ;    -1075.51284399;    -0.00096937;         2.6090;        12.8352;     0.009258
       154;      7;     31.81;     24.74;           ;    -1075.51304938;    -0.00020539;         3.4991;        27.9683;     0.006645
       155;      7;     31.62;     23.16;           ;    -1075.51398270;    -0.00093332;         2.5675;        11.4266;     0.028576
       156;      7;     35.33;     61.30;           ;    -1075.51419188;    -0.00020918;         3.5485;        28.0072;     0.021887
       157;      7;     50.29;     39.70;           ;    -1075.51509380;    -0.00090191;         2.5794;        11.9140;     0.013236
       158;      7;     49.99;     40.13;           ;    -1075.51526874;    -0.00017494;         3.4146;        26.9664;     0.009071
       159;      8;     67.41;     51.55;           ;    -1075.51618151;    -0.00091277;         2.6154;        15.0372;     0.033678
       160;      7;     48.79;     40.03;           ;    -1075.51634227;    -0.00016076;         3.5464;        40.5307;     0.021870
       161;      7;     55.42;     40.53;           ;    -1075.51725644;    -0.00091417;         2.5354;        11.0826;     0.011408
       162;      7;     55.49;     42.71;           ;    -1075.51748796;    -0.00023152;         3.4441;        27.9272;     0.009276
       163;      7;     54.46;     43.83;           ;    -1075.51837334;    -0.00088539;         2.5071;        10.1634;     0.030145
       164;      7;     51.56;     46.51;           ;    -1075.51856326;    -0.00018992;         3.4510;        30.4337;     0.022222
       165;      7;     57.76;     47.65;           ;    -1075.51941512;    -0.00085185;         2.4981;        12.3285;     0.012331
       166;      7;     49.65;     41.28;           ;    -1075.51964404;    -0.00022893;         3.4682;        35.0457;     0.010501
       167;      7;     56.85;     40.64;           ;    -1075.52049295;    -0.00084891;         2.5221;        10.1554;     0.033910
       168;      7;     53.95;     40.49;           ;    -1075.52068039;    -0.00018743;         3.4317;        37.6464;     0.025661
       169;      7;     52.84;     41.43;           ;    -1075.52154070;    -0.00086031;         2.5359;        10.6205;     0.012346
       170;      7;     57.34;     47.49;           ;    -1075.52173868;    -0.00019798;         3.4254;        24.0232;     0.009420
       171;      7;     53.33;     50.72;           ;    -1075.52262468;    -0.00088600;         2.5346;        12.5622;     0.035235
       172;      5;     46.43;     42.91;           ;    -1075.52280180;    -0.00017713;         3.4522;        24.9300;     0.025105
       173;      7;     52.24;     41.77;           ;    -1075.52366606;    -0.00086425;         2.5312;        14.2107;     0.010410
       174;      7;     56.56;     41.25;           ;    -1075.52382883;    -0.00016277;         3.3682;        29.4023;     0.006898
